,text,class
1181,thi famili that want to complain about gay should come to san francisco and rai some hell at these gay pride event a much better target and these peopl in san francisco openli blasphemi christ with their parodi of the last supper as their poster for their last event,1
1182,that or it might be that black have smaller brain and an iq point lower than that of white peopl on averag,1
1183,but who know,0
1184,thank you for share your free and peac home while you have one,0
1185,who know how much longer that will be for ani of us,0
1186,i bet all the ted pike stuff is on the adl hit list look for that to start disappear down the memori hole,0
1187,you know wheat and corn grow pretti fast,0
1188,then there s bean potato yam,0
1189,my kansa ancestor got by dure the great depress without eat cow dung and everyth wa cover in dust then,0
1190,it seem to me that natur is take out the trash,0
1191,though starvat is a horribl way to die,0
1192,just yesterday on tv there wa some mtv thing where a western girl wa visit a famili in india,0
1193,the indian teenag wa show the caucasian american girl how to dissolv cow dung in water and then use a broom to spread the filth all over the floor of their hou,0
1194,the western teen wa natur gross out and then they cut to differ scene,0
1195,certain cultur practic just tell you volum about a peopl do nt they,0
1196,it will be the same here when the goodi run out,0
1197,absolut stupid,0
1198,are there ani white left in that craphol or have they all been kill,1
1199,beelin tv watch onlin tv free internet tv live tv channel thi ha got a number of japan tv link for stream,0
1200,i am actual a big fan of subway but i alway laugh when i read thi,0
1201,they neglect to mention that jare also ran about mile a day,0
1202,white rage it s what s for dinner,0
1203,do f ck with our famili buckwheat,0
1204,youtub hell s come with me,0
1205,free edgar steel ha announc the start of an offici fundrai campaign with full support of cyndi steel fundrai campaign free edgar steel,0
1206,a man in charg of an organ that is so hate like the kkk should have been more care,0
1207,he of all peopl should have known to what extent the feder govern will go to have peopl like him thrown in prison,0
1208,there is no differ version of bad when it come to race traitor if you date a non white it is bad no matter if the nonwhit is asian black or arab,1
1209,i know it s disgust,0
1210,i ca nt fathom see all those brainless white along with their negro counterpart worship obama,1
1211,also those stupid white women who watch oprah and not realiz the fact that oprah is veri racist,0
1212,she wa probabl the victim of a groid rage rape also,1
1213,have to follow up on thi one,0
1214,where s lenni pitt articl on thi one,0
1215,we knew that report wa a lie the entir time,0
1216,whi did it take so long to relea it,0
1217,had to make it up that is whi,0
1218,perhap i should walk back into my hs when it start monday and get on the pa system and say i want to tie all s to the back of my car and drag them across the ground till they die and then say i m joke,1
1219,i hope i see the day when thea worthless piec of crap are out of here,1
1220,all the jew i have ever known will do anyth for money and all i can say is there are no good jew,1
1221,let mother natur evolv these peopl natur becau no amount of money or aid is go to drag these thing into the civil world where they serv absolut no purpo,1
1222,hide and if you are around knight of columbu or their roman cathol brethern keep a close hold on your young children particularli the boy,0
1223,dr congo troop accu of rape govern troop in the democrat republ of congo carri out most of the rape of civilian caught up in the war with rebel group a right group say,0
1224,usba human right watch say thousand have been rape by rebel and soldier in the past six month,0
1226,what do they do with them,0
1227,it s mind boggl to me i mean they just cut it off and run off with it in their hand,0
1228,then what,0
1229,she probabl get the food for her food kiosk from the garbag site and she doe nt want to carri it far,0
1230,someth tell me that you are sit in the wrong section of the stormfront bu,0
1231,i believ judg from your other post that you belong more toward the back,0
1232,and thi is whi sa went from first world under botha s rule deklerk doe nt count to a third world begger hord,1
1233,it s embarass,0
1234,just show how thick they actual are one farmeron bullet they will just end up starv and ask white to feed them,1
1235,preci,0
1236,too bad percent of public school kid are be taught everyth but the truth,0
1237,no doubt they will be come up with chocolatecolor leprechaun and a chine flavor uncl sam s too,1
1238,i think the main problem with our movement is that we are not subtl in our approach we need to use word that do nt promot controversi instead of say racial puriti we use word like iden,0
1239,white in all their glori against imposs larg hord of nonwhit,1
1240,no wonder lord of the ring is so hate by our social engin,0
1241,youtub xa rohirrim charg at helmsdeep xc lrm,0
1242,veri inform,0
1243,i will have to reread it a few more time to get it clear but thank for post thi,0
1244,i heard that some black peopl pretend to be ghetto becau they have no money and they live in the ghetto,0
1245,but that s just a rumour,0
1246,i think that world star hip hop should be mandatori view for everi singl white person on the planet period,0
1247,the raw footag of these beast in their moment of candor is so much more reveal and persua for help our fellow white brother and sister see the truth than a thousand book could ever be,1
1248,thi disgust negro make us white peopl look bad,1
1249,he should be flag and report skyyjohn s channel youtub establishedmencom sent me on a blind date,1
1250,youtub,0
1251,good thing there are the zionist polic to keep me from come and take everyth you have earn with your arrog,0
1252,i actual have a colleg degr but choo not to make a live with it becau i cannot sit at a desk in front of a comput all day,0
1253,it make me tire,0
1254,the cologn wa under the seat,0
1255,thiev and liar alway think you are steal and lie,0
1256,xa father and son assault lead to death xc rlm youtub,0
1257,mani year ago mayb there s no ammo for them anyway rather send a donat of a few thousand m s,0
1258,more blackonwhit crime youtub black student attack white man for eat dinner with black man youtub black attack on white hopkin research plan,0
1259,more negro riot thi time at a black panther parti ralli youtub nypd vs black peopl macon st riot youtub nbpp vs nypd,0
1260,youtub black savag bake puppi aliv,0
1261,youtub dog set on fire while give birth youtub anim abu at child care center in chicago ghetto,0
1262,immigr will go to white countri for other reason than just econom,0
1263,mayb they will be resettl delib as refug or mayb they will come for the women like the chine men are do,1
1264,absolut vodka as a compani is anti white as they are a sponsor for rupaul s drag race and a huge advoc for the lgbt commun as well as is the first compani to ever sponsor a gay parti back in the s behind the scene of absolut vodka cocktail perfect youtub,0
1265,i join thi site just a few hour ago but i have been visit for a while befor hand veri interest topic thing you just do not see in mainstream anymor actuali what the hell am i say never ever seen in main stream ever it a damn shame,0
1266,all i have to say is none of thi crap that is happen in the world is go to chang unless peopl on a larg scale actual stand up and say no we have had enough and drag the scum in the street and deal with them in a most violent way,1
1267,put your cursor on the american dissid voic tab and click on it not the link in the menu which drop down,0
1268,i tri to find thi crappi commerci on youtub when it first came out so i could post it here,0
1269,anyth goe these day to make white look like total jack ass,0
1270,look at the preserv crap they are eat too,0
1271,most of my food is meat and produc,0
1272,never ever do our groceri look like thi,0
1273,i do nt even like buy carton of juic,0
1274,thi is the biggest problem which face our race today as more non white immigr move in white do not want to live in or near their ghetto,0
1275,we all know that when their are too mani ethnic the neighbourhood soon turn s into a slum,1
1276,the media also promot race mix as cool,0
1277,i have seen young white girl s and boy s act like black with their baggi pant s and their hip hop,0
1278,soon in their mind it is ok to date them and have children with them thu pollut our great race and push us further toward extinct,1
1279,bessi mae whyman the orang counti grand juri indict anthoni darnel wade of lo angel last year of sever feloni count,0
1280,updat bessi whyman oc homicid no yearold rob tortur and murder orang counti news navel gaze,0
1281,video black pack attack tivqruyif pack of black attack teen white girl in restaur drag her by her hair into the park lot beat her refu to allow her back into the restaur continu to beat her while black onlook laugh at her humili pain and suffer,0
1282,more blackonwhit hate crime video are post here,0
1283,david allen snyder age die on octob at hi resid in findlay ohio rip david allen snyder obituari at coldern crate funer home the juri took onli about four hour tuesday afternoon and earli even to convict corneliu patterson junior of the octob murder of yearold david snyder in a jennif lane apart complex where both men live,0
1284,wfin news with tom sheldon and scott jen findlay ohio,0
1285,thi thread ha reduc me to tear so mani time that i sometim avoid it and yet i thank the op for it,0
1286,thor soderberg wa shot and kill at st and racin,0
1287,white chicago cop kill with hi own gun in attack from behind nnn report newsroom forum rip,0
1288,a mentallyil orthodox cantor who told juror he wa the michael jackson of jewish music wa sentenc in manhattan yesterday to at least a year in prison for swindl a washington height woman out of,0
1289,victim judi burstein had met the singer michoel streicher at hi perform five year ago in rockland counti brooklyn and lakewood nj,0
1290,streicher pose as a rabbi then took her money promi to use it to purcha a torah but instead pocket it a juri found in convict him of grand larceni in april,0
1291,just to make it clear to someon who doe not bother to read the attach link,0
1292,thi is the anim who rape and murder the six year old white child abov,0
1293,may all these victim of the war on white rest in peac,0
1294,i pray that their soul are in the heaven and their famili are heal in spirit,0
1295,white have the follow too mani abort too mani mix marriag too mani no kid marriag and too mani liber,1
1296,we need to elimin all of those element from the white race,1
1297,youtub mayor of boston send welcom to gaytransgend youth event kid attend prom from sexual hell you wo nt believ how children as young as year old parti famili advoc are outrag by a prom held at boston citi hall that wa open to children appar as young as featur crossdress homosexu heavi pet suspect drug use and a leatherclad doorman who teach sexual bondag class,0
1298,children from middl school and high school across massachusett on may attend a youth pride day event end with a prom insid of boston citi hall sponsor by the boston allianc of gay lesbian bisexu transgend youth or bagli a group seat on the massachusett commiss for glbt youth,0
1299,fa pageview pageid,0
1300,just saw a hershey s commerci on tv ca nt find it on jewtub show a white woman happili share candi with some mop head groid male on an escal guess i wo nt be buy that stuff ever again,1
1301,i notic it doe nt say if the kid were jew or not,0
1302,if they were jew piec of garbag who the hell care what happen to them,1
1303,sad it happen more and more they want to take our but what do they think i want to date one of those negro women,1
1304,and with that i will bid you all good night,0
1305,i m glad we were abl to get back to ns in the ns thread,0
1306,i will edit out a few of the most reveal imag,0
1307,on stormfront usual we tri to respect feel of those who find scantili dress bikini etc imag or suggest pose tacki,0
1308,most like putin wa not behind ani of the kill but certain crimin gang from caucasu or corrupt member in russian militarysecur agenc,0
1309,dmitriy hvorostovskiy princ yeletski s the queen of spade tchaikovski dmitri hvorostovski at the metropolitan opera youtub ya va lyublyu dmitri hvorostovski rene fleme and dmitri hvorostovski perform the final scene of tchaikovski s yevgeni onegin part i youtub yevgeni onegin final scene hvorostovskyflem i rene fleme and dmitri hvorostovski perform the final scene of tchaikovski s yevgeni onegin part ii youtub yevgeni onegin final scene hvorostovskyflem ii rene fleme as tatiana dmitri hvorostovski eugen onegin s first act aria from tchaikovski s opera,0
1310,youtub dmitri hvorostovski eugen onegin onegin s act i aria rene fleme and dmitri hvorostovsk lippen schweigen lehar die lustig witw youtub lippen schweigen hvorostovski fleme offtop bonu hvorostovski troika youtub hvorostovski troika dmitri hvorostovski temnaya noch youtub temnaya noch dmitri hvorostovski littl bell youtub hvorostovski littl bell dmitri hvorostovski moscow night youtub dmitri hvorostovski moscow night,0
1311,jew have white skin doe that make them white,0
1312,she is not white,0
1313,her eye and nose and skin tone give it away,0
1314,her skin tone is not white to my eye,0
1315,the site becom legendari wwwnswpcc ha again open video section is access option com jdownload itemid task viewdownload cid new year s congratul option com jdownload itemid task viewdownload cid fli untermench,0
1316,i wa happi to see onli white in that movi though there could ve been a few jew or half jew there but i would nt know,0
1317,somebodyhcfcalledputinaherololololthisherofinallytransformedformersovietjewnion in russianjudeain thi miserytorn countryar there offici billionari ten f thousand millionari and ten of million of poor and miser who look for their pittanc at the garbag place,1
1318,ye she wa born in svrljig,0
1319,februari and she graduat from the faculti of dramat art of the univ of belgrad as an actor,0
1320,unfortun she star in some partisan film,0
1321,on a tv show yesterday regardin crime by foreign in russia a black man stood up and proclaim that crime ha no colour or race everi vigoursoli clap,0
1322,ye these figur sound correct and are in line with the impress i got there,0
1323,i guess the term blond is somewhat subject but to a swede the vast major of spaniard are brunett,0
1324,again i can onli offer what i have read,0
1325,i have read a million figur million figur and an estim of over million figur so i compromi at,0
1326,plea excu my ignor,0
1327,they play thi on fox news todaysaid she went ape schmidt no pun intend becau they had no baffroomsfox news suck but at least peopl get a coupl second of real news secondli i have never heard of a sheboon beforea new speci from the chimpout famili,1
1328,i think there is more threat from russian than from jew,1
1329,there are realli few jew and million of those bastard on the bodi of our countri,1
1331,accord to the russian censu there are onli some ten of thousand of chine in russia but it is thought that group like the chine avoid inclu in the censu,0
1333,thi go to be a long post i see konavl look better it is our on thi map small land but import,0
1334,i hope our patriot will throu egg at them and will say some thing like get out to the jungl or i think our coach will make them to go to the trainnig at minu c or f that they uuuu will never be abl to play agan and will fli to africa after first tran,1
1335,here is my old school pictur i think it wa in,0
1336,i hope such class will be the futur of all russia,0
1337,i pray so too,0
1338,i could never pictur the site of one of the women of the holi ru shack up with some islam mud from that fithi impoverish and godforsaken mountain hole,1
1339,that is good i wish there wa someon stand for my interest where i live but as it stand now that is not like to ever happen,0
1340,peter wa draft to the armi as he said,0
1341,it look like a good kind of armi with occa internet access,0
1342,hello oleg if i did not know i would have thought it is a pictur of one of our boer famili here in south africa regard joe,0
1343,youtub teacher attack for be white year old attack white teacher explicitli becau she wa white,0
1344,thi is the th attack on a teacher in the last week,0
1345,see thread racial motiv attack on white teacher middl schooler beat a white woman teacher on a bu on the way to school,0
1346,those who are interest in thi subject and who are sustain member may find the follow thread to be of interest also wwwstormfrontorgforumshow mlpost,0
1347,thank you for your kind word toward my nation my friend you are alway welcom here as a friend and as a brother we will see each other on wnn also,0
1348,ye he is veri sick person with ident crisi who need therapi,0
1349,he live on forum all day becau he have no job,0
1350,they all have gun and are train in martial art,0
1351,i do nt know about you but i rather fight a m swedish male than a m asian kung fu expert,0
1352,size rare matter,0
1353,that is one ugli pictur,0
1354,whi on earth are the swedish parent let their kid grow up in an ethnic school,1
1355,that ca nt be good,0
1356,i will be over in riga in a few day,0
1357,anyon like to meet for a drink i would love to say hello pm me or repli here,0
1358,can someon suggest ani reliabl onlin sourc for inform on the anthropolog classif of the differ popul in the scandinavian baltic countri,0
1359,thank you,0
1360,so you would refu even other nordic white flee the brown chao in the south,1
1361,not that i would pick finland though,0
1362,that pictur wa truli revolt,0
1363,it doe nt matter how you dress up a mud,1
1364,a mud is a mud is a mud that s all there is to it,1
1365,we all know who is respon for thi,0
1366,she wa a gypsi woman i like black sabbath but i do not like gypsi,0
1367,watch out finland item attack,0
1368,well here we have it a white european team against a latin american team we have done so well so far that a white team ha come thi far is be consid as incr by some but sinc the next game are in germani would nt it be wonder if a northern european team won thi alreadi i have read about german superior rascist remark pamela leigha pallessenscherehart,0
1369,my sympathi to all of you,0
1370,ye muslim do breed like vermin i believ that s part of their intent to breed out other race in order to make themselv the major,1
1371,karina sorensen is a member of the danish peopl parti a prodanish heritag parti,0
1372,srensen ar er fdt april i kold,0
1373,har taget en hheksamen pa handelsskolen i nyborg,0
1374,medlem af dfui bestyrel,0
1375,i sin fritid gar karina srensen pa jagt med sin far dyrker styrketrn eller nyder tilvrelsen med sin krest,0
1376,valgt i fredericiakredsen i vejl amt som folketinget yngste medlem nogensind,0
1377,karina srensen er medlem af kontaktudvalget,0
1378,karina sorensen is a member of the danish peopl parti a prodanish heritag parti,0
1379,srensen year old wa born april in kold,0
1380,ha earn a degr from the nyborg busi school,0
1381,member of dfu s director,0
1382,in her free time karina srensen goe hunt with her father ador exerci strengthtrain and also enjoy spend time with her close friend,0
1383,elect from the fredericia district in the vejl region she is the youngest member in the histori of the assembl,0
1384,karina srensen is a member of the parti outreach group,0
1385,i would like to say and i can proudli say that there are no jew in iceland those that tri to get here were all sent back to germani,1
1386,thank odin they do nt tri to come in the modern day,1
1387,i have noth against that but in logic numbersi do nt want to loo our subraci or our ethnic inteditybut i prefer mix marriag among white peopl than race mix marriag,0
1388,veri interest,0
1389,i will most like not be invit but if anyth should come out of it i hope you will share the news,0
1390,i met mr griffin and found him to be most amiabl and well spoken,0
1391,i hope all goe well in sweden i live there and love it,0
1392,anyway good luck all,0
1393,when the homo tri to have a fag pride parad in serbia a few year ago they were beaten up,0
1394,i m not suggest anyth here,0
1395,aragorn,0
1396,three and a half hour after i ve told them the same and they still keep talk on and on about noth,0
1397,damn you all for make me tag along with you,0
1398,i will go to sleep now as i have to wake up reason earli thi morrow,0
1399,plea tri to behav all of you naughti children,0
1400,good night from europ,0
1401,i can onli hope that today s event will help teach the european peopl that they are travel down a veri bad road,0
1402,i think have free healthcar and free educ should be a given if you are a citizen of the countri you are in and you are not an undesir,0
1403,shock thi is a similiar incid to that of a boy in england recent who wa kill by muslim for wear an england shirt,0
1404,person i think the nordic royal should marri other nordic or german peopl although i did nt watch it on tv or do i have noth against mari or australian,0
1405,some of them claim that they would like to go back home one day but after a few year in finland they will no longer have thi wish,0
1406,no one ha ever ask my opinion and as someon said i do nt know a soul in thi countri well mayb our presid who want turkey to eu,0
1407,susan,0
1408,mistenkt for krigsforbrytel sker asyl i norg en tsjetsjen etterskt for terrorhandl og en liban mistenkt for a ha begatt krigsforbrytel bor pa asylmottak i norg med sine famili,0
1409,myndigheten vurder na om de skal fa perman oppholdstillatel,0
1410,artid suspect for warcrim seek asylum in norway a chechen want for warcrim and a leban suspect of warcrim live at an asylum recept center in norway with their famili,0
1411,the govern are now judg if they should be grant perman resid,0
1412,the leban are one of those who did the massacr at sabra and shattila under the direct of the judenst israel,0
1413,the chechen beast wa one of those who commit kill in the name of allah against our russian brother like the theater in moskva,1
1414,may they be put away for good,1
1415,we do nt need such scum,1
1416,wolf,0
1417,look like denni is on my s it list now,0
1418,i would love two minut alon in a room with whatev s it for brain faggot came up with that adverti,0
1419,aoh are legend,0
1420,i am plan on be in ireland within the next year,0
1421,i hope you all do nt mind an irish american skin join your rank,0
1422,i will most like be move to belfast,0
1423,i have famili there,0
1425,i am guess that you are not from ireland as then you would know how well organi afa are,0
1426,one day though our day will come,0
1427,i had a few problem too but then again i had a few problem with some of us irish as well so ca nt complain,0
1428,they choo isol hou away from the local and come and go in car at nightthey do not invit the neighbour around for a knee up,0
1429,especi when you consid the fact that they wa no direct flight from nigeria to ireland make it even more shock,0
1430,it made me sick look at all the black and asian,1
1431,by look at the toy show tonight you would swear the irish were the minor in ireland,0
1432,oh dear is not that terribl well i suppo they will just have to leav then and go somewh they are more valu,1
1433,if that nigerian bitch think she will be elect in tallaght she is in for a rude awaken,1
1434,lynch perhap elect no,0
1435,it sould be made into a youtub video thi stori and put up all over the netimagin if the cop wa white and the dead guy black,0
1436,send me a pm if you are go,0
1437,it will be a welcom chang to see a fellow wn from see hundr of lefti bastard go to see ratm,1
1439,your right but i would say if noth is done fast in year irish peopl are doom,0
1440,wwwimmigrationcontrolorg the e you it the soviet system but much wor,0
1441,it appear that onc again ireland ha save europ and possibl the entir western world,0
1442,well done,0
1443,now it is time to drive out all traitor,0
1444,yah it is sad to see and if the irish do not quash it soon the last of the kelt will be gone from the world,0
1445,hi the littl john of irelandpart of the system as the restwhen it come down to it these type are more our enemi then the rest,0
1446,to hell with what thi creatur think anyway,1
1447,perhap the proud indigen inhabit of dublin do nt want their cultur enrich ruin with tripe like thi,1
1448,thi attack on a young boy should be condemn by all who post on thi site it doe nt matter if the lad is cathol or protest such an attack ha no place in ani white commun,0
1449,just heard on the radio that the local council have decid to give in and they have all been hou in emerg accomod with the promi of a hou on the a new social hou develop in that area,0
1450,it disgust they these foreign come over here stamp their feet and jump abov good irish famili and get what they want,1
1451,save ireland ha a job he work for msi are you say their is a more import job than tri to stop the immigr inva into ireland,1
1452,no doubt the bulk of her vote came from the ever grow chine immigr commun around belfast,0
1453,scum,0
1454,back to where ya came from,1
1455,irish pupil are get less teacher time too becau they are so busi help the immigr chrildren get up to date,0
1456,i wa wonder if anyon el wa have troubl access wwwirelandawaketk i click the click and all that come up is a dottk registr page anyon help,0
1457,i think everybodi knew check out hi thread skinhead wwwstormfrontorgforumshow rish skinhead knowbodi trust him from day one yet he still went ahead with a stori that is old news more fool the star for even print it i do not notic ani post from joeblog defend him self,0
1458,so peopl go out of the countri for a few year come back and their money in the bank ha been given to black illeg immigr thi is shock,0
1459,as i said the irish media are scare of plea give us an interviewth are are go bad now for the media the lie are not beliv by the irish peopl,0
1460,thi thread cover some of the same ground as the northern ireland thread but wa proceed without flame,0
1461,ha it gone or can i just not find it,0
1462,i had an irish boyfriend for year onc and he use to laugh about how in ireland you never saw black peopl i guess thing have chang a lot in odd year,0
1463,i am just down the road to youwelcom to the boardit break my heart everi time i go to galway citi and see the amount of black thereth other week i wa walk down shop street and there wa a moslem stand in the street sell copi of the koran,1
1464,most of them do not even work but i have no doubt that some of them will be push into high posit in societi,1
1465,the raghead do not have the number to kick off in ireland yet but when they do you will know all about it,1
1466,do not take me wrong but a pig is a pig in ani countri and such is the actress who play the part on thi show,1
1467,sure it wa ye of cour what wa i think,0
1468,now sit back down by the radio with your mug of tea and wait for your favourit bbc radio show to come on and forget all about the truth,0
1469,there you go it okay now sshh,0
1470,that is the sadest news i have ever heard in my entir life ireland not a white countri it like say the world is end,1
1471,wow,0
1472,i can not believ i actual wast sever minut of my life read that page,0
1473,wa there actual suppo to be ani evid of celtic commun in nz contain on that page,0
1474,i certainli found none,0
1475,i believ that ireland need a wn parti and quit quickli after the amount of non white that i seen while in dublin,0
1476,anyon want to send us photo of activ,0
1477,video etc welcom,0
1478,get out there and lead by exampl,0
1479,there is alot of work to be done,0
1480,it just goe to show that the ira are just crimin and not freedom fighter as they claim,1
1481,all paramilitari are just crimin scum,1
1482,defeat the bloodi object of have an ignor facil if one read the thread doh pray all you want my god will not count them,0
1483,justin barrett wa on yesterday lastword on today fm you can listen to the show on the link below justin come on in about half an hour into the program,0
1485,just for the record is thi the same journalist that wrote the articl a few week ago tell us to mongr,0
1486,for starter it would be good to obtain a few hundr thousand dollar for a small farm or a million or two for a bigger one,0
1487,vancouv burnabi richmond surrey i guarant are wor than calgari,0
1488,it ha becom unbear and is seriou chang me as a person watch my countri be decim,1
1489,from to canada had brought in over immigr a total of time,0
1490,from canada brought in over immigr timess time in year,0
1491,time in the last year time in year,0
1492,time in the last year it s time for the next gener to fight back to regain our countri the babi boomer will lose it for us if we do noth,1
1493,there is wisdom in your post,0
1494,take everyth with a grain of salt for the wolv come in sheep cloth your heart will know what is right,0
1495,welcom to the fight,0
1496,i grew up in small town southern nb for a good half of my life in a region call king counti it wa white except for liter black peopl and they never mix with white,0
1497,the french nb commun near quebec especi would be white to,0
1498,hi ye anywh in the maritim is full of cultur and if you like old fashion valu and a veri white citi go to st john s newfoundland,0
1499,ton of cultur and just great friendli peopl,0
1500,last thing we want is them move off the reserv,1
1501,still i prefer nativ over everi other nonwhit but japan and korean,0
1502,seem like you can not get away from these parasit anymor it happen and get wor everywh,1
1503,i just hope it will be a wake up call for those who do not believ in our becau,0
1504,i do not see how peopl can ignor thi issu much longer,0
1505,sure sun media suck off israel but they are also the onli media that is will to tell the truth about the danger of islam and call nativ on their bs,0
1506,exactli if there wa a network of devot white nationalist across canada there s no know what we could actual accomplish,0
1507,i get mine from all outlet even the enemi one,0
1508,it is good to keep track of the enemi as well and see what they are say,0
1509,nor have i i live in bc at the moment and had live in alberta for most of my life,0
1510,damn canada,0
1511,they sure did and the ironi of it all is they said they were do it to prevent theft by crimin in my book the act of theft is what would make you a crimin,0
1512,you should be abl to answer that yourself you ve done it sever time,0
1513,all with an ulterior motiv of cour,0
1514,i want to vote ye and at the same time i do ntthe way i look at it is either way we loo,0
1515,i just need to turn on a tv and i see it adverti everywh mostli african ape with attract white woman,1
1516,disgust what thi countri ha becom,0
1517,i agr with everyth you said mate but the thing is with eu immigr we do not have ani say in the matter becau we have open border,0
1518,everyon on sf britain respect other european we just wish our politician would do some think about thi immigr problem we have just look at london it mad,0
1519,also i would have no problem if spain sent back the hundr of thousand of brit back home we do not have a right to flood a countri like that with our folk,0
1520,let us not get abov ourselv lad,0
1521,there is some bad news,0
1522,i pass andi cameron s hou thi morn and i heard him gargl,0
1523,andi cameron alli s tartan armi totp youtub,0
1524,i went to an edl ralli in luton a coupl of year ago and i can tell you that the edl are not real nationalist they are just a bunch of drunk footbal hooligan they are a disgrac,0
1525,just wait until we open our door to the poor peopl from the tb capit of europ romania,0
1526,then we can look forward to case of multidrug resist mdr and exten drug resist xdr tb to becom common disea,0
1527,look at it thi way most gothsemospunk are white,0
1528,mayb hate crime will now appli to white in an odd fashion,0
1529,may i share with the good peopl on thi board a delight and enrich video i found on youtub of the town in which i grew up,0
1530,notic all the love pakistani peopl celebr it warm the cockl of my heart it realli doe,0
1531,one young pakistani youth can be seen joy celebr by stand on the roof of a bu,0
1532,i laugh and laugh at hi antic whilst anoth coupl of pakistani youth celebr by hitch a temporari ride on a tk maxx lorri,0
1533,hilari,0
1534,joy time ind,0
1535,plea notic as well there are none of those racist intol vile white peopl hang about cau troubl they were forc out long ago,0
1536,i hope you enjoy the celebr as much as i did rememb peopl multicultur work racism doe nt pakistani celebr jeet toot youtub,0
1537,i wonder whi thi ha been introduc i would nt trust anyth that is be taught in our school noth in our school is for the better of our white children and anyth that ha been newli introduc especi in the time we are live in now i would be highli sceptic,0
1538,the politician need to keep feed them to keep up the number which will eventu come here and vote for them,0
1539,as fast as natur is tri to thin them out our countri is undo the work,0
1540,best thing to do is go along to a blood and honour gigther is one in london in week,0
1541,rampag product welcom to the blood and honour forum,0
1542,the offici websit of the british peopl s parti a few unplea truth re the zionist ass licker of the dup,1
1543,hi just join the forum and look forward to join in the discuss with fellow white nationalist and have some interest debat good to be here amongst friend thewhitewolf,0
1544,i wonder if we will see ani pictur of cop with garland round their neck danc with the nativ thi year,0
1545,i recent watch an item on the bbc news in which a headteach from a school in birmingham wa interview about a lack of fund,0
1546,i have to say i wa shock when he said the kid at hi junior school spoke differ languag and teacher have had to devi a system of hand signal to commun,0
1547,absolut mad,0
1548,these figur show that no one now could just talk about the need to restrict nonwhit immigr as the current govern doe largesc repatri of nonwhit is absolut essenti,1
1549,we will never give up the jew can keep tri open our border and send their third world minion after the european peopl but we will never capitul,1
1550,fal scotland is almost as bad as england and scottish femal have an obsess with negro male well the one i know do anyway,0
1551,i know that mississippi is full of black but is it realli that bad over there that real white folk are tri to move to overpr liber my assumpt britain,0
1552,are you talk about act civil or actual racial mix,0
1553,when the popul are not seper racial mix occur and that is genocid,1
1554,we do not want assimil,1
1555,depend on which part of scotland you are go to i might have some bad news for you about the kaffir,1
1556,should be lock up for thi wonder how long he will end up serv mayb a week if we are lucki in thi countri,0
1557,london is f ked,0
1558,anyon rememb an old greyhound track sinc been close in london call white citi,0
1559,oh the ironi,0
1560,london is not the place to move to as a white nationalist,0
1561,in central london you will realli struggl to see a white british person,0
1562,black and muslim are the major,0
1563,still like to watch the old big match revisit programm from year ago show on itv,0
1564,a good old bit of nostalgia from the day when there wa hardli a blade of grass or a coon on the pitch,1
1565,last week the crowd were chuck snowbal at peter shilton,0
1566,perhap you would like to comment on the link below,0
1567,three time as mani muslim are in prison than year ago,0
1568,no bob i saw it odd year ago on a anim right stall in london it stuck in my mind,0
1569,it got to be a quot from someon,0
1570,sort of a back hand compliment that the antiwhit are so keen to come on here and tell us that all is lost in their heart of heart even they must know that what they have construct is onli temporari and all will be rip down some day,1
1571,your in ya cell hour a day here you do not in gener walk around the land,0
1572,ani bother you go on lock down no one get out the cell so it not that bad prison is hour boredom,0
1573,i hear you loud and clear i still have nt been abl to meet up with anyon,0
1574,if you come down n around sacramento california area send me a messag,0
1575,just want to give thi a bump up we have had a few good peopl come to our weekli get togeth and would like to encourag anyon el interest in meet and network with us here in calgari to feel free to pm me,0
1576,i would like to meet with anyon prowhit white nationalist or especi nation socialist like myself,0
1577,if anyon live near london on,0
1578,shoot me a messag,0
1579,and i now have a new contend for the top space on my list of traitor to be hung when europ awaken,0
1580,hi i need some inform to understand the mean of the negrogreek homo and the racemix tag of the hellen thread,0
1581,thank,0
1582,i saw the clip too,0
1583,i m surpri that on nation televi they let to be broadcast such a polit incorrect video,0
1584,but i bet they knew exactli whi to let it appear on televi onli to creat a bigger tension between the gypsi and the czech,0
1585,ever notic how they alway say that about the roman or greek armi no one say oh i wonder how mani non white were on the goth or gaul armi,0
1586,you mean warsaw upri museum,0
1587,i wa there and i must say it s great museum,0
1588,you can feel there like in,0
1589,let me make it clear i do not like muslim but they are still slav so they are my brother as long as they keep the religion to themselv then there is no problem for me,0
1590,thank you and thi is video i ve made for all of us after i made those for each ethnic son of europ legaci youtub onli uniti,0
1591,plan for largest mosqu in ireland given go ahead read more plan for largest mosqu in ireland given go ahead irish news irishcentr follow us irishcentr on twitter irishcentr on facebook,0
1592,i think you all got your way and they close down the german minor in upper silesia thread under activ and polit in europ,0
1593,off bulgar turkic peic of and ustasha kosovo belong to serbia get use to it howev much you hate serb also by the way makedonia belong to greec not bulgayria,1
1594,if that is where we are head then it a sad futur ind,0
1595,there wa probabl a lot more as well those document just got lost,0
1596,rip germani youtub xa pierr vogel und bilal philip in frankfurt rtl news deutschland xc rlm lone german woman stand up youtub xa femal protest disrupt muslim radic ralli in frankfurt germani xc rlm,0
