,text,class
391,he was white and spoke english,1
392,these peopl need to be deport and shot if they come back also the peopl aid and abet the illeg alien need to go direct to jail behind the bar,1
393,it fail has fail to remov ani illeg period there all crimin,1
394,ani you s citizen vote for hillari clinton is the intellectu equiv of a chicken root for colonel sander,0
395,i case you have not notic noth work under dim control what is it about the word illeg dim s do not understand whi do we write law that are not enforc vote trump,1
396,hillari s support of sanctuari citi is about as bad as her support for blacklivesmatt how do you help fix ani social injust by burn down you own citi and random attack white peopl on the street someon plea explain to me how that work rememb blm was invit to the white hous by obama again how doe that work when five polic offic lost their live protect blm protest in dalla and hillari refus to seek the endor of the fratern order of polic how doe that work perhap a hillari support would like to explain even at the dnc convent when a silent prayer was take place blm peopl in the audienc jeer dure the silent prayer for the fallen offic plea hillari support explain that one to me we need law and order in this countri no us citizen black white latino asian has the right to destroy peopl properti without consequ but it is okay if you are black protest about a crimin with a gun who refus to put down his gun and was shot and kill by polic what would you have done,1
397,vote demokkkrat becaus we believ that global warm is settl scienc if you put too mani peopl on the island of guam it might flip over and capsiz and jew are termit now if we can just figur out which restroom to use,1
398,bigot shalom,0
399,clm citizen live matter,0
400,well put,0
401,mcd all live matter mr obama and mr johnson not just your futur democrat here illeg,1
402,mcd not all illeg crminal and muslim not so much,1
403,obama doe not want illeg crimin deport period one of his reason is becaus his uncl would then be deport instead of be given a free pass to commit more crime his uncl is protect ice has been order to stay away from him and local law enforc has been told they are not to arrest him or harass him anymor look it up this is true,1
404,obama is an illeg alien the ss he use in the white hous was issu in connectcut in like to a french nation that becam a citizen here move to hawaii in and die in obamma born in british republ of the congo in and move here illeg and grandmoth of white mother was the one in hawaii that collect and destroy ss s of dead peopl figur it out from there,1
405,wrong social secur start when,0
406,should be a bounti for civilian who apprehend and turn over illeg to ice they say they have to few agent this would huge expand the forc on the street of cour there need to be total everifi complianc enforc to prevent undocu peopl from hold job if we want to enforc our immigr law we can but the fact are we as a societi do not have the polit will to do so i suspect in year the you s a as a true s overeign nation will have been so dilut as to not exist,0
407,creat job a new bounti hunter want dead or aliv not so much,0
408,if you are in mexico work illeg ani mexican can arrest you law enforc personnel or not,0
409,vote demokkkrat becaus free food cloth educ hous healthcar abort contracept and cellphon just is not enough to keep our constitu from riot we need more of your money,1
410,suprisi mexico had on olymp team thought everyon that could run jump and swim was alreadi in america,1
411,that joke was brough up earlier but later delet it is an old one but prop on bring it up dure the olymp that make it more contemporari,0
412,lol ya i still like it though did not see it befor it was delet someon el has a great mind lol,0
413,fenceclimb has not been recogn as an olymp event,1
414,eh depend on your interpret of fenc,0
415,vote demokkkrat becaus it is time for your hard earn money to belong to someon el,1
416,democrat love illeg whi you may ask becaus they can round them up and have them vote in elect on gruber believ there is no voter fraud yes the dead do vote in chicago,1
417,that is becaus the leftist media refus to report it in the mind of the liber lem if mediamatt did not report it it never happen,0
418,and everywh el in dummycrap district the dead vote,1
419,govern can not take care of anyth it is time to do away with it all and farm everi section out to privat sector govern job are all friend and famili of most unqualifi peopl includ presid they make too much money after year job are tenur and you can not get rid of them all they can do is move them to anoth section and keep pay them for noth while their job posit automat get step increa the bigger the govern get the wor our countri function and the wor off the public is,0
420,sanctuari is a function of the cathol church state are not suppo to impo their religion over the citizen of the us the peopl under sanctuari are suppo to be hous and remain on church ground at the expen of the church until a determin of resolv between the state and church can be made concern the individu an individu that leav the church ground is subject to the full extent of the law the state is liabl for the damag caus by the impo of the cathol religion on the peopl,0
421,when the blatant anti christian asault by the administr and democrat at everi level is cea then some credenc can be accord to the sanctuari argument sanctuari citi are run by virul secularist and liber they are a recruit ground for illeg voter and a mean to bolster the popul for district purpo sad the american cathol church is on afactor when some liber tenet can be contriv if the cathol church had ani real clout everi legisl pelosi and biden come to mind purport to be a cathol and be support of ani and all legisl support abort and taxpay pay for it would be public excommun that has not happen and the cathol church is no longer the bastion of moral that could onc influenc elect sanctuari citi are the creation of liber look for support from legal minor religionha noth to do with it unless you are an amor athiest,1
422,i think cut off feder fund to citi who do not enforc current law is a dandi idea noth would make them move faster to fix that sanctuari attitud of aid and abet illeg in the commiss of a crime stay here illeg work here use fal paper fraud or wor,0
423,sanctuari is a place of refug for individu that are appeal to the peopl of a state and not the state itself a plea for person protect in full recognit of their gilt in the break of the law of a state a safe zone of apprehen by the peopl for the protect of all where they can safe present their case of circumst that led them to have no other altern than to brake the state law for when a state itself is involv in the grant of sanctuari it is in conflict of interest to itself and the peopl thereof,0
424,the obama administr count the young girl that are kidnap and sold into sexual slaveri south of the border those that die in the desert and drown in the rio grand as deport ltfol,1
425,this big of has truli creat a nation crisi this administr the demoncrat not to be confus with the honor but few democrat left and their support are continu to destabil the countri of america and it good peopl the peopl choic ceo law order presid donald trump is the on sane compet and current respect voic of the american popul and it is been evid sinc he has been runnig for offic the countri has been chang becom more free more patriot and content with a real leader and administr tell them the truth and support their belief in justic and faith in the futur of our america trump has a greater posit efect and american real peopl base fact not fiction polici go forward for real peopl impact on today america outsid the offic than big of has ever accomplish in the offic divid undermin and over talk the peopl of america and it govern constitut principl we will make america great again,0
426,there are honor dummycrap is not that an oxymoron,1
427,and by danger illeg immigr they mean democrat voter,1
428,do not forget the dead also,0
429,liber are braindead doe that count,0
430,pul or no pul there regist,0
431,demrat,0
432,dem should not be allow to live in gate comun,0
433,or lock door or use car buss plane train limit ho use and no gun or bodi guard forc them to live and take care of violent illeg and muslim none would be dummycrap for long oh ya forc them to work and give the money to the gov no welfar ebt free hous etc,1
434,liber are good at spend other peopl s money,0
435,they will give away anyth they do not own,0
436,if all it took to fix illeg immigr was burn down some liquor and cloth store and beat up white random by mob violenc democrat would of alreadi fix it cincyman tire of law enforc base upon polit correct then make sure you vote and vote for trump,1
437,i think the maximum age to abort a liber should be year old after that age all the drug and alcohol will tear them down fast anyway,0
438,clear the will of the peopl doe not matter this is what happen when liber are in control end the mad trump penc,0
439,democrat sure can not fix anyth and they sure can keep inform secur but they sure can empti a liquor store and burn it to the ground complet easi enough,1
440,singl payer healthcar is just around the corner conserv healthcar is fail we must go to a pure govern solut,0
441,and bankrupt the nation,0
442,and everi penni of it will end up in thee foundat,0
443,ok adolph when did you get off your med or into this countri for that matter,0
444,lol how is obamacar been do so far show you how much a gov t healthcar program work quick summari sinc you seem to have miss it lost billion so far when oblund promi it would save taxpay hundr of million has hurt cost more peopl than it has help yup gov t effici hard at work,0
445,hsa were brought into play dure the bush year and it is still the on viabl health plan the govern fail with the mail system whi on earth do you think they can get the health care right,0
446,think the gov will take care of you look at the american indian heneri ford,0
447,a wise indian chief onc said sure you can trust the govern he on said it onc and he was not consid veri wise ani more,0
448,that is right,0
449,just like they have in venezuela,0
450,a death sentenc is the on cure for stupid,0
451,case in point sean reed,0
452,we need to hang all the illeg vermin start with the one that do not have birth certif that are real,1
453,liber protect the crimin and hang american citizen out to dri,1
454,are you tire of the liber coddl illeg and crimin then make sure you vote for trump,1
455,and anyon who back him,0
456,i rememb when i live in la sever year ago the hispan want to make a statement about how much they were need to do all the job so they had what they call day without a mexican where they all stay home from work in protest total backfir on them there was no traffic on the freeway unheard of in la all the busi function without issu and all the white peopl ask when they were go to have anoth one,0
457,yeah but at least the mex s are will to work and not becom proud liber crimin like so mani black are exhibit,1
458,us citizen are just collat damag in the left quest to make america brown,1
459,so accord to my feder govern it is ok to refus to cooper with ice to turn over illeg alien for deport and it is not ok for local and state govern to round up illeg alien run amok in the street of their citi for deport i see the problem my feder govern good thing i can vote,1
460,we are in a situat we cannot vote ourselv out of propaganda has control of women s mind the on solut is arm resist against anyth relat to the feder govt,1
461,by law local law enforc agenc are suppo to turn illeg immigr over to the fed for deport when they are due to be relea from custodi but illeg immigr advoc say the polici violat the subject civil right what civil right do noncitizen in this countri none,0
462,do not do anyth until trump get in then we can clean hous of illeg and sentenc them to build the wall and then make sure they are on the mexican side when it is complet it a win win,1
463,love the idea,0
464,jeh johnson is anoth polit hack here in arizona we are flood with illeg immigr crimin and the on law enforc agenc to take action sheriff joe arpaio s maricopa counti sheriff s offic has been stop from his program to weed out these felon it seem to me that it would benefit the support of mexican and central american immigr to remov the felon from their neighborhood but that doe not appear to be the case congress need to pass a bill to stop feder fund for sanctuari citi now it is interest that liber want more feder power but when it come to issu like this they spout about local control we cannot afford ani more illeg we need to get our own hous in order befor we go back to save the world,1
465,save the world rid america of liber,0
466,i love sheriff joe,0
467,push someth and probabl will get reelect he is do someth right,0
468,get them out of here,1
469,obama to white work american fu,0
470,to all american worker except lawyer fu,0
471,good luck to the mexican high jump and pole vault team you are go to need it donald trump,0
472,it seem most of our govern is serious broken i recent wit seattl citi worker stand around a hole watch a backho bucket work,0
473,the person lean in the flag was paid the most,0
474,that is an old one but prop for bring it up dure the olymp it make it contemporari so at least one like for style point,0
475,whi did that comment get delet whi do not mexican do well in the olymp,0
476,it could just be that he is a bit embarrass it happen or fox could have delet it it happen,0
477,stop screw with the taxpay safeti and secur if you liber polic chief can not follow the law of the land then it high time you find anoth occup,0
478,ani illeg immigr caught commit ani crime or receiv ani welfar should be immedi deport biometr scan and inform if caught in usa without proper paperwork again will be on a trip to prison to work on chaingang fix our road etc no if s and or but follow rule or suffer the consequ,0
479,white young women live matter unless your ice,1
480,tire of all this liber nonsen then make sure you vote for trump,0
481,q how do you circumci a liber a kick his boyfriend in the chin,0
482,ok we have a winner,0
483,liber back by liber offici all decid which law they feel like follow they all belong in jail for particip in and aid and abet crimin act,0
484,the voic of the illeg alien is now louder then the american peopl,1
485,thank to the dnc,0
486,we all knew this was happen now we better start check the vote machin am sure trump is right on voter fraud also,0
487,how do you break up a riot in milwauk drop patern test from a helicopt into the crowd of thug,1
488,or drop job applic,1
489,or work boot,1
490,they would just make paper airplan out of them,1
491,crimin illeg alien is not that a littl redund i can not believ how dumb down this countri has becom,1
492,thank bill clinton,0
493,time to vote out those who would put illeg alien befor the citizen of this countri,1
494,global is on concern with the elit control the common and everyth el,0
495,q how do you starv a democrat a hide his ebt card under his work shoe,0
496,you can not rob a democrat all you can do is get your money back,0
497,q whi do not you run over a liber on a bike a it is probabl your bike,0
498,q what do you call a liber on a bike a thief,0
499,global is on concern with the elit control the common and everyth el,0
500,wast and ineffect program there is an extrem small number of murder in this countri by relea illeg,1
501,there should not be ani illeg is illeg,1
502,that small number is too mani,0
503,i would not mind if the illeg murder just liber that would be poetic justic but the murder of innoc aka nonlib is intol,1
504,just read an articl that say the murder rate for illeg is time higher,1
505,yes by other illeg or democrat,1
506,what number will make you happi,0
507,not true first off over convict time serv murder illeg were re relea back into the unit state and over violent felon illeg with them all dure obama s time in offic,1
508,so you would rather live in a countri that doe not follow it own law that is call anarchi,0
509,one is just one too mani chico,1
510,it is like in the movi the help those poor black peopl in the south did not have ani hope until that privileg white girl show up and start the whole civil right movement,0
511,this is an easi problem to fix if you are one of these ahol politician or polic chief unwil to hand over danger crimin and that danger crimin kill someon you are respon for manslaught and should be prosecut as such period no negoti no plea bargain none of it you are respon still want to harbor these folk we as a peopl need to demand this it is absolut unaccept and a derelict of their sworn duti to protect the public,0
512,charg should includ but not be limit to derilict of duti conduct unbecom obstruct of justic accompl befor the fact,0
513,if it were on that is simpl not that i do not agr complet,0
514,q whi do they buri liber foot deep when they die a so they can still get a hand out bwaaaaa haaaaa haaaaa,0
515,you wast time on that bwaa haa haa teabag got noth,0
516,got noth,0
517,there is no god santa never came down the chimney there is too much senseless violenc,0
518,and yet these fool still vote for dem,0
519,for and by democrat it is pittsburg steal,0
520,give money to freedom give to the georg soro chariti open societi is a freedom organ that work with all peopl want to be free,0
521,if you believ that you have been deceiv,0
522,give us all your money so we can make you rich and independ,0
523,the on thing you liber want free is your social program that us conserv pay for get a job freeload,0
524,i paid in tax last year how much did you pay,0
525,sure you did skippi sure you did,0
526,i own a ten year old success small busi someth you on dream about,0
527,yeah seanni you are dream are a farc,0
528,cook meth seem to be work out for you i paid around k,0
529,like i said how much did you pay,0
530,the on thing free in your societi are herp and hemorrhoid,0
531,so madam wooki want to play too,1
532,epitomi of arrog and sefright whose inner circl are valeri jarrett and bill ayer rv wright ho w dare she sit in judgement how dare she sit in the white hous and verbal degrad it where is your polit correct now time to move out michel,0
533,michel tarzan call,1
534,we have never had a spoil thankless americah thing for a first ladi befor this wick witch,1
535,except nanci reagan,0
536,deneen how can you betray your black brother and sister the first ladi channel martin luther king and you dare to sit there and derid her what kind of person are you you have the look of a matur beauti young ladi but then you say the word that you do under the gui of religion with that religi symbol around your neck when clear you do not take the word of the sermon in the mound to heart i am on white and i evid know better than you about what you should know deeper than i can ever know how much money is in your pocket from take advantag of the sell out of your race those on the conserv right who do not embrac the light of day take great pleasur in your defect and those of your race who are in poverti and lack opportun becaus of the prejud against them should haunt your dream at night and if you have an honest bone in your bodi you will be haunt until the day you becom honest with yourself about what you are do shame on you grow up,1
537,you took a lot of time to say noth,0
538,if michel is channel mlk then i want to chang the channel never has he been cite as an excus to base everyth on skin color as she doe,0
539,michel is lie trump sad he want to build a wall to keep the illeg out and he want to deport the illeg current in the us he never said he want to deport those that are here legal the democrat need the illeg here to vote for them,1
540,michel is lie trump sad he want to build a wall to keep the illeg out and he want to deport the illeg current in the us he never said he want to deport those that are here legal the democrat need the illeg here to vote for them,1
541,name call poor littl pc cupcak can not bring themselv to mention radic islam terrorist,1
542,and hilari is innoc and say none of that not michel shut your pie hole no care what you think go redecor someth,0
543,moochel nobama take swipe at trump it sez trump better look out ape have a long reach,1
544,racist much,0
545,just callin a spade a spade oop,0
546,she also said american do not build up wall to keep peopl out becaus we know that our great has alway depend on contribut from peopl who were born elsewh but sought out this countri and made it their home doe she consid herself american or africanamerican or just african was it not michel that said peopl in this countri are readi for chang and hungri for a differ kind of polit and for the first time in my adult life i am proud of my countri becaus it feel like hope is final make a comeback realli after benefit from be a minor,1
547,it funni how he bloviat about other not accept him and anybodi el that is frakish yet doe not he is do the same thing,0
548,and prog never do anyth hypocrit guess it take a hypocrit to know one,0
549,this countri has been pay for your famili elabor trip while in children here in the unit state go to bed hungri each nite million of dollar spent taxpay money on vacat and all we hear is incom equal that is a complet joke wake up america,0
550,my entir famili includ me my wife my kid and grandkid entir wardrob could not be valu at the amount the obama girl paid for their individu parti dress mani in america are wake up and are fed up with a govern that work harder at see the wealthi get their while ten of million of american men and women are out of work while mani who were at one time product worker with home for their famili famili who particip in communiti and school activ and were work to achiev the american dream has been push asid to allow immigr legal and illeg to come here and work obama and his administr has turn their back on the american peopl and america obama is quick to point our how mani new job were creat in america but he never point out how mani were lost how mani of the job fill were fill with immigr worker his own labor depart say out of four job in america is be taken by immigr legal and illeg or how mani men and women who at one time had job have run out of unemploy benefit can not get work and are no longer count in the offici unemploy number he doe not point out the massiv huge and grow nation debt that the nation has grown under his administr could it be obama s endor of hillari clinton was done so histori will have someon el to show as the worst presid in our histori she has one of american polit worst person record alreadi elect her presid will end in disast and obama will no longer have to face the reput of america greatest presidenti failur and the book show him as the worst presid in our histori confuss he is a fraud he is a thin skin fake what let us delet that,0
551,i am sorri did she actual say this the first ladi on friday also said some peopl act as if namec is an accept substitut for thought debat as if anger and intol should be our default state rather than the optim and open that have alway been the engin of our progress is not presid obama the one that circumv congress whenev he want to becaus they do not agr with him and he just sign an execut order that have on sever occa violat the constitut if that is not hypocrit i do not know what is,0
552,when that water buffalo and her hate eight pos husband vacat the wh we can be proud of america again,1
553,i spent month in vietnam i never saw a water buffalo that ug former marin rvn to st amtrak cau viet camp carrol quang tri,1
554,water buffalo lol perfect,1
555,i bet the transvestit are elat that michel and her girl will never have to share a locker room or bathroom with them,1
556,doe anyon care about anyth about what she care diver how about trashi,1
557,trump what is michel s dress size for a go away parti my wife wear a end of discuss,0
558,first ladi i beg to differ that is no ladi,1
559,i will miss michel obama ski when she leav the white hous not,0
560,she realli need to explain how she got a high pay job with the you of chicago hospit when her husband becam senat for which she had no qualif she realli help the poorher job was to send them to other hospit so the you of chicago hospit did not have to pay for their care good job michel i hope you are pack,0
561,it is call a no work contract which is big buck go to a person that has a free ride nwcs are veri popular in chicago some other call nwcs money launder,0
562,and her job was so import that when she left they did not put anyon el in it i wish i could get so much free money for be black,1
563,she should had taken at least one against her husband for be the worst presid in you s histori,0
564,well she should add that not on slave built the white hous an irish born immigr was the architect with a team of free men african and european with some slave if we are be honest,0
565,you are be honest she is not,0
566,pot call kettl black,0
567,do the democrat plan on draft her for the nomin if bizaro i mean hillari is indit they seem to realli like put her out to the public,0
568,on she is better off for the last year,0
569,if she believ what she say she should public condemn the anger and intol liber inflict on trump support in san jose ca but we all know she will not,0
570,that silver back never look good,1
571,after eight year she final come out of the woodwork she should stick to screw up school lunch for the littl kid,0
572,monkey face man she is scari,1
573,i want a bumper sticker with moochel face state doe this a make my truck look fat,1
574,just curious whi do or should we care what she has to say,0
575,good question,0
576,michel the ladi who got a free ride all her life becaus of her color but was not n proud to be an american until her husband got elect presid is not qualifi to judg trump,1
577,spoken like a true wooki,1
578,is it me or doe she also look like the grinch who stole christma,1
579,here is the thing for me on immigr it is like have compani at your home guest arriv at your front door they knock you let them in mayb you offer them a beverag have a nice chat if those same peopl broke into your home damag your home and treat you like garbag you would defend your home you would not invit them back for over year we have had guest come to our american front door we have invit them in help them get settl made them part of our great american famili that is who we are but the crimin who insist on break down the back door to get in illeg and then expect the rest of us to just say it is ok are just not welcom go to the front door knock and we will let you in otherwi go home,0
580,well written outstand plea forward to trump ad let him use it,0
581,at least trump has a wife that is easi on the eye moochel make is so hard to look at just hideous ug,1
582,oh come on pathet uncal for inappropri,0
583,sorri just play the game of polit liber develop and i guess i hit a nerv call the truth,0
584,my point was she can not help the genet card she was dealt ani more than you or i or anyon el can carv her up on her total b s liberalbelief those she can be held respon for critic for legitim,0
585,she also said american do not build up wall to keep peopl out we do not we build wall to keep illeg illeg illeg alien out the woman is a complet clueless proilleg immigr leftytool,1
586,she live behind a wall guard by guy with gun and lectur the rest of us,0
587,yeeeeup actual it is a fenc is not it,0
588,this is at a colleg commenc speech so rather than make the day about them it was about trump inappropri and tacki,0
589,the obama have no shame should not she be provid advic to those who are about to start their new live instead she is just tri to further the democrat agenda,0
590,woman doe not know here place,1
591,if you ever see her interact with barack she definit wear the pant,0
592,and a strap on,1
593,jesus can she not realli find her way to the back of the bus again,1
594,obama did not show ani digniti when he was the commenc speaker at the rutger univ in nj such guest are tradit emin citizen and are expect to tell the new graduat to work hard with sincer and integr in their job in order to have a success career instead he took the opportun to critic and attack trump the first ladi is do the same thing now at anoth commenc prove that their mean has on worsen after near eight year in the highest and most power offic of the nation what a shame and tragedi,0
595,it seem that you and some other prefer to give graduat fluff instead of what is actual go on consid how mani do not bother enough with what is real to dump trump what more is there to be said except we would be a lot better off do more sort out of what is real especi graduat,0
596,donald trump support maketheunitedstatesgreatagain com has a trump style hat in republican red for everi us state get your today ship from east coast usa list vendor to trump campaign hat of the day make washington great again nobama trump maga,0
597,question has not ani other first ladi taken swipe at their oppon parti s presidenti candid for good sake this is a colleg commenc speech show just a littl class michel this again reveal her lack of grace and integr as our nation s first ladi,0
598,the first ladi man is just a littl bit tick off at the donald becaus if he is elect his wife will be million time more celebr than was michael he she is green with envi do not doubt me,1
599,michel obama came out from kitchen is beter to stay there and take brother trumpet with her,1
600,she give a commenc speech at a colleg that has a year graduat rate well done,0
601,i think that is probabl one more commenc speech than you have given,0
602,methuen rdennisuk osym osym s comment is relev your is not,0
603,and more then you have ever heard,0
604,well you have to understand that black student can not be expect to understand thing about american cultur becaus they are from africa and they do not speak the languag also slaveri has kept them down has shut them out and has left them wholli unabl to compet with other in societi and if you are buy this be sure and let me know how to contact you so that i can show you some prime oceanfront properti that i have avail on the cheap in downtown memphi tenness you can have your choic of atlant or pacif ocean,1
605,do not forget the trillion dollar spent on the social program suppo to help the downtrodden but went to line the pocket of those in washington,0
606,first of all she was on tap to give a commenc speech becaus she was lucki enough to be marri to the man who was not qualifi to be potus but was vote in anyway twice either peopl who come to the us undercov illeg are break the law or not which is it michel if they are not crimin then whi have immigr law at all at your suggest of a wall be built to keep differ peopl out whey do not we just do away with the entir immigr dept and save money and let everyon in that want to come the catch will be that they will be dump in your new toni d c neighborhood live next to you go to school with your daughter and come over for coff each morn then mayb you can be proud for the second time in your life of america januari can not come soon enough bon voyag babi,0
607,the reason trump support have such anger is the result of michel husband,0
608,how much doe the you s owe china that is his result i would keep my mouth shut if i were you,0
609,trillion not includ million in interest per year,0
610,this is what democrat have given us all through affirm action a bunch of socialist libertard minor now hold more posit of power than the major what could possibl go wrong sarc,1
611,this famili is the worst to ever resid in the white hous have they no shame obama who refus to apolog to pearl harbor victim apolog to the countri that kill them what a most reprehen act,0
612,i hear that this dude michel plow bong hit barri on a night basi,1
613,truli unbeliev that a sit presid and his wife are take shot at a nomin yet anoth disgrac action by our jv presid what a joke,0
614,marri to the worst presid in histori of this countri she realli should take a look around the wh and see how oblund the wonder has divid this countri,0
615,hor tooth jungl creaturrrrr,1
616,moooooochel ought to be wipe not swipe her own,1
617,that gutter trash has a lot of crust take a swipe at anyon,1
618,she need to focus on wipe not swipe,1
619,no get it right it is not michel but in realiti michael obama she is a he,1
620,is that the reason buckwheat pass the lgbt bill with the help of the other gay scotus for his dude,1
621,so the transgend bathroom idea came to obama from experi at home,1
622,when you do not know whether to stand or sit then you might not know where to take a dump,1
623,make sen now i wonder whi they alway were on separ plane the same person can not fli togeth,0
624,no one care what that race bait ug dude in a dress has to say,1
625,she is just as bad if not wor than her husband good riddanc to them both,0
626,she also said american do not build up wall to keep peopl out becaus we know that our great has alway depend on contribut from peopl who were born elsewh but sought out this countri and made it their home say the obimbo that live behind wall and arm guard on wednesday her husband presid obama also enter the debat in a speech in indiana say the republican nomin has crazi idea includ one to deport the rough million immigr now live illeg in the unit state deport them all they are crimin they are not immigr they are crimin,1
627,kind of sad that this show never has anyth relev to say it is more like joan river critiqu of peopl she do not lie without the comedi that is all these peopl do is critiz peopl who they clear just do not like somehow i think i could find more relev thing to put on tv,0
628,secret servic offic assign to the white hous dure bill clinton presid alleg that presumpt democrat presidenti nomin hillari clinton lack the integr and tempera to serv in the offic,0
629,i firm believ michel obama is a man honest,1
630,barrack insan obama has alreadi had his nut cut for his transform after he leav offic,1
631,you are firlmi correct,1
632,michel obama is a man everyon know that,1
633,no on you and your right wing friend want us to believ that,0
634,will,0
635,your level of hate is without boundari i am posit that even if you have live you would have die time from an heart failur befor your wish come true your cynic argumebt leav me cold,0
636,these comment are insan a lot of you have sever miss the point of her comment and use it as an excus to just be hate watch the video and see the context in which she made the statement,0
637,black love be victim,1
638,after victim them for more than year and continu to victim them what do you expect,0
639,the african black have been victim of black for longer then that the black sold the black as slave the peopl here now have never been slave or victim,1
640,she was not a slave nor doe she know ani all race have been mistreat or enslav at some point in histori i am of irish descent but i do not obsess about the english rule i also have cherok blood but i rare think about how they were treat move on and stop use this as a polit card the presid has no document slave in his famili,0
641,my on wish for them is one day they lose everyth they have and have to live in a tent like most of american has to do thank to his wonder economi and open border i do not know how they can hold their head high and look american in the face,0
642,your level of hate for these peopl is without boundari with this level of hate i am sure that even if you have live you would die from a heart failur time befor your wish come true,0
643,you will die from a heart attack befor ths happen,0
644,sister cleo is that you,0
645,cleo should have seen this come,0
646,how impress she marri someon who occupi and degrad the offic of presid and she think her spite charact is sudden empow someon el did all the work to give her that moocher pulpit there are a lot of peopl who have earn their place in the world she went from cherrypick patient in a chicago hospit at a salari far abov her worth to this no hatespeech from her especi in a set she did not earn is go to chang what she is,0
647,there are simpl fact that most normal peopl do not wake up everi morn rememb i am slavic i do not wake up everi morn realiz my predecessor were slave this was perhap one of the most divi statement she has utter especi after year of opportun to make hope and chang obama and michel have been utter failur now leav this countri in worldwid disarray with multipl enemi on sever new front,0
648,lithuanian here with a ggrandmum enslav by the czar to teach their soon to be dead kid and a cherok that predat the trail of tear and irish and scottish and mayb even some jew but that might just be the inherit nose yet everi day we are all regard as slave owner that need to murderedf by the racist liber nazi,1
649,the first ladi fall not far from her husband,0
650,do not suppo she watch the attack on trump ralli attend in san jose by the mob of hillari and berni support,0
651,life is all about her so she did not give it a glanc,0
652,her life is all about her her husband s life is all about his what a pair,0
653,sure she did and she was cheer for the rioter,0
654,she was hope some white cop got kill,1
655,i wonder if egyptian african wake up everyday obsess by the fact that hebrew slave built the pyramid somebodi should stage some protest over there throw some egg mayb mayb israel can press egypt for repar it is on been about thousand year,0
656,no they will protest commemor the jew leav egypt,0
657,i do not know whi the obumm are not all over that one you know be african and all,1
658,if she doe not like live in a hous built by slave then she should move out the hypocrisi that fill the life of obama and his wife is too great for either of them to throw dart at anyon el doe she allow their daughter to use the same bathroom as the male use of cour not and not just becaus they are daughter of the presid she would not allow it but they do not care about the daughter of famili if mrs obama was smart she would stop point finger at other,1
659,then she will be point finger at everyon for a veri long time,0
660,quot of the day protest and racism were not on the front page everi day year ago,0
661,her time might be better spent pack,0
662,not as much as you think sinc hillari will be move in,0
663,to prison,0
664,obama will be her cellmat after he has the oper,1
665,while barack is rapid go gray and look tire michel and the girl just keep get more attract,0
666,time for a vision check mooch is look more like aunt esther everi day,1
667,you need a vision check you must have cataract,0
668,trump is clear get to the dem do not worri moochel trump will never sexual harass you when he get in the white hous but watch out for billi he might,0
669,no but trump s daughter better watch out fortrump,0
670,f this racist useless beast,1
671,funni when white racist who have a long histori of lynch abus and murder black peopl call black peopl racist,0
672,you have never been a slave and i have never owe one,1
673,rememb this tramp is part of the most transpar administr ever mayb she can play the race card again,1
674,more proof that the democrat know they are in troubl hey moochel keep you pie hole shut,1
675,i visit this thread onc in a while and see that the con have noth but to call name and continu to roll in their gutter i would think that the con would grow up someday but that is on wish think,0
676,but to be fair when your long suit are hatr racism and vitriol you play them over and over over again,0
677,hard to have respect for someon who in a multi figur a year job in an chicago hospit was on the committ that work on a poor patient dump scheme,0
678,did you notic that you cite no sourc for that silli comment we did,0
679,you notic that you have a toolbar and the world is open for you to educ yourself if you can type go look it up,0
680,oh no need to apolog but you start this after all you made the comment so it is up to you to support it this was cover in th grade debat class anyth el i can help you with today,0
681,welcom let me know if you need more exampl,0
682,lol,0
683,and storm tri and recal how the left name call and roll in the gutter as you say over palin so democrat women deserv respect whi,0
684,read the topic in question befor you blame other for react or is that too much work,0
685,lol not on are you all go to get hillari you are go to get bill too,0
686,great a presid who was impeach mayb his wife can set a new record by get impeach also the dynam duo,0
687,first ladi are you serious look like a retir lineback of the nfl,1
688,noth but bitter word from the skunkap no surpri there,1
689,sigh she is not much of a first ladi is she,0
690,nope more of an embarrass than anyth,0
691,but we will agr she is not as vacuous as nanci reagan,0
692,i do not know what you are but you will obvious never be anywh near as good a person as she was stop while you are behind,0
693,noth the obama gang doe is a surpri ani longer hillari promi if elect to continu the progress trump with his gaff is a far better bet to do some good thing in obama s nasti wake,0
694,name it after a gay pedophil not the smartest thing to do i could not care less if he found the navi you do not honor someon like that by name anyth after them,1
695,you mean the pedophil harvey milk that one name a whole ship after a pedophil wow,1
696,be exnavi this is disgust to me other than honor discharg should have elimin his name from possibl choic,0
697,come soon the uss micheal brown,0
698,the good ship lollypop,0
699,fli the rainbow flag,0
700,i guess the navi doe not have ani more deserv sailor they can honor this polit correct is go to destroy one of the few remain govern organ that still have some respect from the public,0
701,good comment,0
702,you will notic fox did not bother to mention the earlier ceremoni the same day in camp pendleton name a ship after moh john basilon second ship name after him and it is a real warship ddg guess that would not play into the narrat though huh,0
703,they are also in the process of chang the navi fight song from anchor away to in the navi by the villag peopl,0
704,welcom aboard the uss milk sailor serious i think the uss j christoph steven the uss tyron wood the uss glen doherti or the uss sean smith american hero who die for america instead of for their lifestyl deviant or not would be better abl stomach,1
705,will they make a backdoor deal to get it commiss,0
706,usn harvey milk aft board on,0
707,the muslim will make an extra effort to blow it up,1
708,jeffrey dahmer was in the armi how about name a base after him,0
