tweet,is_offensive
"@_aney @magrateja @tasosedova @Urskitka Hja, baje za ravne lase ta metoda ni. Meni pa super odgovarja, kodri so super, sam ja, js sm že 4 leta v tem.",ni sporni govor
"@KilgoreSH5 @Nova24TV @FranciKek 😆😆😆 Hvala, da to raziskujete 😆😆, kar se ve že od majskih dni 2014 😆😆. Zgodilo se je, takoj priznal napako in še danes sodim kot cenjen sodnik. Na napakah se učimo, tako se tudi jaz na svojih. Život je borba 😎😉👍👍",ni sporni govor
"Vse gre po planu, uvoziš črno drhal na zahod jih pomešaš z belimi narko lenimi levičarskimi anarhisti, jim daš neimenske bančne kartice, ko pride pravi čas pred ameriškimi volitvami, pa prižgeš vžigalno vrvico, da z vandalizmom in anarhijo poplačajo svoj dolg!",žalitev
"@JureMenart @breki74 Kavo sem pil zjutraj k zajtrku. Zdaj najprej himna, potem pa jogurt in pa gasa. I feel very olympic today.",ni sporni govor
NAJNOVEJŠE! Slovenija danes razglasila EPIDEMIJO! Trenutni okuženi ljudje po mestnih občinah! Janez Janša bo na novinarski konferenci spregovoril popoldan! https://t.co/rVFjBYOXn5,ni sporni govor
"Uporabnikom, ki imajo na dom izposojeno gradivo (tudi medknjižnično), smo rok izposoje podaljšali za dodatnih 30 dni. Podatke o izposojenem gradivu lahko preverijo prek COBISS – Moja knjižnica.",ni sporni govor
"@rolander51 @Mauhlerca Tako je, zato potrebuje znanje, da se odmrzne in živi.",ni sporni govor
"Preživela Oskarje 2020 in vesela, da je korejski film tako lepo presenetil. Samo še videti ga moram. 🤗 aja pa za filmsko glasbo je dobila oskarja ženska, wawwwww, malo se pa premika vse tole.",ni sporni govor
"ZAKAJ CERAR NI V ZAPORU! 
Po trgovinah vidim ljudi brez mask, edino blagajničarke jih imajo na nosu. Ne moreš jih pa kupiti, ker jih ni!
Kadar so, so po 1,5 eur za en kos.
Za enkrat it ven z njo.",žalitev
"@meteoriterain Ma ti jih napišem še kaj Slovenec Slovencu Božjamast
Slovenec Slovencu Mokrarit
Slovenec Slovencu Krvasolza
Slovenec Slovencu Terc
Slovenec Slovencu Bes
Slovenec Slovencu Kurc
Slovenec Slovencu Jagababa",nespodobni govor
@AlesKecman @mateja_po @zeljko_novak @strankalevica @LukaMesec @IgorZorcic @StrankaSMC No..zdaj pa pojdi pobirat ogorke po metelkovi 😉,žalitev
"@mrevlje @StefanK14158172 Ce sva pravno natancna, @mrevlje: dobesedno so zavestno ubijali ljudi, kar je kaznivo dejanje.",žalitev
"@pjur11 @frelih_igor @MadMSlo @butalskipolicaj @JanezStupar @2pir_a @thinkingslo @Ivan151045871 @slavc7 @sgsonjasg @Bostjan1981 @krajnc_martin @robilesnik @MarijaMerii @peterjancic @zaslovenijo2 @JanezMeznarec @Platinis2 @EnVaitapu @R10Vojko @FrenkMate @zaspanko @caplcapinski @strankaSD @JozeMozina Od tod si moral oditi kot duhovni invalid, da si se gnusil samemu sebi, se sramoval, trpel vse življenje. Zato se sama in gotovo tudi vsi drugi, ki so to preživeli, – najdlje in najbolj črno spominjam Golega otoka.",žalitev
"Infektolog Franc Strle v intervjuju: Ne vemo, kako se bo bolezen covid-19 razvijala naprej
https://t.co/FGbxBC96X2 https://t.co/Z7a4Q6GvQc",ni sporni govor
@kizidor He he Izidor slab pastirček kave in mleka si...Fatim bi ti moralo biti ime...fatasto pucaš to plato...,žalitev
"@LotusLucija Oni sami poosebljajo te zvezde, rdeče seveda, ker zvezdicam pa res ne bi želela krivice delati... 🤪",žalitev
"Tudi vsaka Bolgarka v Bruslju ne more, sploh pa noče, biti Slovenka! https://t.co/3NZT58AoTV",žalitev
"Od @nktaborsezana se poslavlja Stefan Stevanović, ki bo v naslednji sezoni nosil dres @FCKoper. Karolis Laukžemis pa odhaja nazaj v @NKIstra1961Pula #plts #nktaborsezana #fckoper",ni sporni govor
"@PIA_GOR @engslove1 @scdtwister @blaz_zgaga @StiglerCenter @ChicagoBooth Vidi se, da pojma nimaš. Naštej pet držav, kjer je komunistična stranka prepovedana.",žalitev
"@strankaSDS @Margu501 @BrankoGrims1 Tale predstava Terčka v oddaji pa je prikaz nizkotnega obnašanja poslanca,ki bi moral po izstopu iz Levice zapustiti DZ če bi imeli normalen poslovnik,tako pa se poslanci sprehajajo iz stranke v stranko ne po volji volilcev ampak po svoji volji za naš denar.",žalitev
"@illegall_blonde @vladaRS Hoja v hribe po moje sploh nikoli ni bila prepovedana. Znotraj občine seveda in ob upoštevanju varnostne razdalje. 
Enako bo zdaj golf, tenis, kolesarjenje...",ni sporni govor
"Nikar ne hitite s sproščanjem omejitev !!! Počakajte toliko, da bo zdravstvo dovolj opremljeno z respiratorji in zaščito. Učite se na državah, ki so časovno s #COVID19 #coronavirus pred nami. (Japonska recimo) Naj gospodarski @PocivalsekZ še malo počiva! 😷@JJansaSDS @vladaRS",ni sporni govor
@KatarinaDbr @MMilena @petrasovdat @t_celestina Niso Štajerci. Turški lastniki.,ni sporni govor
"@Primoz_Kovacic Ker ve, da je njegova TV geznica in želi kakovostni TV, da še tega spremeni v svojo greznico.",žalitev
"@SergejBerisaj Em, a ni to mal prevec kofeta? Nikjer ne vidm: sel na pir z prjatli - na enega 🍻",ni sporni govor
"@TotiList @APivec Preveč resnice je v tej satiri, zato pa tudi tak odziv. Očitno se je ustrašila, da je razkrinkana.",ni sporni govor
"@Svarun_K @Orleanska1 @KKetkic @petrasovdat @MisaHrovat Sem šel čez vse odgovore, pa sem se kljub temu namučil.
Tudi, ko sem našel odgovor, sem rabil še dodatne Mišine namige, da sem razvozlal odgovor.",ni sporni govor
"@SuzanaLovec @klara_sirovnik @novinarSI Ko so grožnje in nadlegovanja anonimna, nimaš kaj. Mislim, lahko prijaviš, zgodi se pa nič.",ni sporni govor
"V Indiji so zadnji dan potrdili rekordnih skoraj 8000 okužb z novim koronavirusom. Kljub temu nameravajo 8. junija odpreti restavracije, trgovske centre in verske objekte, so pa za območja z višjim tveganjem karanteno podaljšali do konca junija.  https://t.co/hsaFxqEixN",ni sporni govor
"@Bojana61654450 Seveda da je, to da je nokavtiral samega sebe je moralo biti še tolikanj boleče... 🤔 😉 😄
#PeaceLjubavBok ✌️",ni sporni govor
"@vinkovasle1 @Medeja_7 Odložim in grem, ker je ravno tema o ...
https://t.co/41MA8lFn5O",ni sporni govor
"@TomazLisec @BandelliMarko Če zapre Inpos, kje naj nabavim material, da si izdelam intubator, respirator, ali kako se že reče temu hudiču?",ni sporni govor
"@JasaLorencic @PrvaLigaSi @NKRudarVelenje @nkmaribor @nkolimpija @Ziga_Kos Na Pasivnem ofsajdu sem se hecal, da bo to prva zmaga Rudara. Ni blo tak daleč. 😁",ni sporni govor
"@strankaSD @tfajon Pojdi ti nekam, ne vidim te, klobasaš, rabiš medij, to je pa tudi vse",žalitev
"@BranGolubovic Ko govorite o nesposobnosti, korupciji in zavajanju, govorite o sebi? Sedanje stanje je običajno v demokraciji, ko zmagovalec sestavi vlado (in jo v nasprotju s prejšnjim PV tudi ZELO uspešno vodi). Je ideja, da se vi&amp;co. ponovno združite v koalicijo ""PROTI""?",žalitev
@Pertinacal @DejanLevanic @tfajon @strankaSD @ZidanDejan Itak. Tako je še iz Čebin.,ni sporni govor
"@multikultivator @stanka_d kamere so postavljene kot pač so, za vse enako, samo prostori so drugi....",ni sporni govor
"Vsi MSM in nekateri,ki pravite,da ste nevtralni nehajte nakladat in zavajat.Vlado imamo 1 teden ,kaj če bi povedali še to kaj je naredila dobrega.",žalitev
"Ob svetovnem dnevu podjetnic želimo vsem podjetnicam vse dobro, ravno prav trme in veliko uspehov. 
Ob tej priložnosti vam v branje ponujamo prispevek podpredsednice SLS @krause_lara  objavljen v @CasopisSlovenec.

https://t.co/SFJ5N9OFe3",ni sporni govor
"@dialogos_si @kizidor @vladaRS Odličen krizni komunikator na nivoju države izplava med ravno takšno krizo. Vse 3 so imele v tej krizi možnost postati to, pa so vse le povprečne. Žal sijejo pač ne...no ja nekaj časa še imajo, je res:) #JelkoKacin",ni sporni govor
Čisto slučajno to sporočilo sovpada s povišanjem plač ministrom. https://t.co/DoP0jgM6Hs,ni sporni govor
"@Komar4442 Kučan in Janša sta brata, a ne komar ? Te kdaj piči kakšen, komar ?",žalitev
"@petrasovdat @BojanPozar @FranklFin Po KV krizi pa bo udarilo po nacionalni televiziji. Pa ne iz vlade. Sami se bodo sesuli. Tudi twitter k temu pripomore, saj so dnevniki in 24kur zapoznele novice, pa tudi le te  dirigirane iz STA.",žalitev
"Dragi moji, ki ste se ukvarjali z mojimi komentarji v zadnjih 3 dneh: @Z3MQP @meteoriterain @had @DarjaTomanic @dusankocevar1 @DejanP2 @dreychee @andrejLac @fatou2002 @Plavalka @pipermanaus in še kdo.
Se vam zdi tole spodaj verjetno? Kaj bomo/boste naredili, da se to ne zgodi? https://t.co/G9tmBNsOvd",ni sporni govor
@janponiz Vse skupaj zgleda kot boj velikosrbskih četnikov in komunistov proti ustašem.,žalitev
"@GorazdSkorjanec @Jo_AnnaOfArt Njami, juha z lisičkami, mladim stročjim fižolom, domačim krompirčkom in korenčkom. Danes sem za v juho dobila domač peteršilj. Priznam, da sem ga vohala kot žlahtno vrtnico. Ob teh iz trgovin sem že pozabila, kaj se pravi aroma.",ni sporni govor
"@BozicKristjan @DKosterca @Jo_AnnaOfArt @JozeBiscak Še en bedak, ki bi celo zgodovino prilagodil komunistični diktaturi. In potem bi bili radi taki osli demokrati, nikoli in nikdar krvavi Kristijan, rojen v rdeči zvezdi",žalitev
"@BizjakSelma Za zdaj jim je smešno....znani epidemiolog je rekel.
“Prepare for the worst, expect the best.""",ni sporni govor
"@AntonPeinkiher @alesernecl FDV. O pismo, to pa je dosežek. FDV. Bratušek tudi, pa še kdo iz Murgl štale. 🤣😂🤣😂",žalitev
Visoka tveganja pranja denarja: POP TV in Kanal A se upravljata iz “off shore” centrov! https://t.co/1Yh80i7CfG via @Nova24TV,žalitev
se dobro da ne recete so lahko ze cel mesec odprti :P https://t.co/tMEyHmKGip,ni sporni govor
"@ZaresGregor Matematik dr. Dragan Marušič o eksponentni rasti okuženih in tem, da se zares mudi! #koronavirus 
https://t.co/06m04M79Op",ni sporni govor
Sredi junija morda dovoljeno združevanje do 500 ljudi https://t.co/dMBfCQ1t2K,ni sporni govor
"@z8_LJ @AljosaCankar @lavkeri @LukaStucin Aja saj res, vas Barcistov itak polovica v bistvu za (od) Messija navija 😂",ni sporni govor
"Če tu kaj zastopim, sn pecikl.
Naenkrat se bo na trgu pojavilo dobrih 300 miljonov EUR namenjenih le za tvojo branžo in ti začneš tuhtat o dvigu cen za imetnike vavčerjev, namesto, da bi jim še ugodnosti ponudil, da le prideš do čimvečjega kolača.
Mogoče jim pa ne gre tako slabo.",žalitev
"""EOSC je naložba, v katero je Evropska komisija vložila ogromno sredstev, nekaj tudi na račun raziskovalnega proračuna Obzorja 2020, zato je bila iniciativa deležna tudi kritik."" @aslavec #OdprimoZnanost 

https://t.co/K5bZr8G0vh",ni sporni govor
"@paradaplesa @NovakBozidar @NevaGrasic @vladaRS Imam taktiko. 😉Počakam še 1 dan in pol tako pismo predsedniku uprave, da ne bomo plačali tisti mesec storitve upravljanja. Da vsi fleti ne bodo. Ne bo 2 uri, ko bo kdo poklical. 😉",ni sporni govor
Nekaj spodbudnih besed našega veleposlanika v teh neobičajnih časih: https://t.co/knZj9yRxAp,ni sporni govor
"@belokranjc @Blaz_88 @BostjanKoritnik @CiroCara @RTV_Slovenija @StrankaSMC To govoriš o tem ali kakem drugem napadu?
https://t.co/lb3RO3u3JC",ni sporni govor
"@Jo_AnnaOfArt @MarkoSket @MilenaMilenca @NeuroVirtu a vam je znano, da so pred tem potekali pogovori za sprejem v matični bolnišnici v Murski Soboti in so jih gladko zavrnili. Prav tako danes v vseh povprašanih mestih. Minister pa demagoško ugotovi, da je res najbolje, da ostanejo v Ljutomeru. Hinavci.",žalitev
"Da boste vedeli, kaj ta RTV podpira in vzpodbuja. 
Pandemija kitajskega virusa ne sme biti razlog, da se preneha z umori. 
To je svetlobna leta od uravnoteženosti https://t.co/t5tM9auXHD",žalitev
"[Film] POSLEDNJI KRALJ OB 20:55 na TV SLO 2 -&gt;
Norveška leta 1204. Dežela je razcepljena in opustošena zaradi državljanske vojne. Na eni strani je norveški kralj, na drugi cerkveni vrh. Edini legitimni naslednik po smrti kralja je njegov nezakonski sin, dveletni malček ... https://t.co/IwXybmDB2q",ni sporni govor
"@TS30040393 @JJansaSDS Ne, tote so ofce na biciklu 😜 https://t.co/EJddHQWWuf",žalitev
"@LottaS10 Temu se pa že milo reče blaznost. Predlagam, da ga vzameš domov. 
Nategnu vas je že velikokrat in glede na vaše izjave vas bo še velikokrat. Ste pač zaverovani bolniki, ki ne priznavate nikogar drugega. To se vam bo prej ali slej maščevalo.",žalitev
"@martinvalic Samo s kvalitetno sedimentiranim izobraževanjem. Mislim na sheme in programe,na ustrezno usposabljanje in organizacijo. Ne trdim,da doslej nič,a lahko mnogo boljše. Manjko v humanističnih znanostih: brez poznavanja klasičnega izročila ni razumnega vladanja in teh. razvoja.",ni sporni govor
V Mestnem muzeju javna tribuna o osnutku strategije razvoja kulture v Mol 2020-2023,ni sporni govor
"@petrasovdat bom jutr, k tle ne morem odpret,sem pozabla pass https://t.co/VHvgrUxxdE",ni sporni govor
"@dzey_89 @pozitivanonstop Meni tudi. Kolikor je grozno, je tudi vznemirljivo. Smo sredu neslutenih družbenih sprememb. Kakšen svet bomo ustvarili 'po tem', pa je odvisno prav od nas. Izziv življenja",ni sporni govor
"@FrojdovaNevesta poglej na ig restavracijamangrt, ceprav meni so napisali, da v casu sezone strezejo kosila in se ni treba najavit. za degustacijske vecerje pa ja.",ni sporni govor
"@vlada @vladaRS @BojankaStern @mrevlje Je ta 🇩🇪 dohtar odkril tajno 🇩🇪 uspeha raskuževanja 🥃🦠 ali je samo za k Ruglu poslat in na nivoju “dr.Pirnatove ni panike” in dr.Pokornove ne vrtat po nosu, če ste dobili kitajski paket. https://t.co/k4TPLzTEHR",žalitev
@EddieDonovan @matejpirnat Upam da je res antifašist in da sta oba njegova starša in tudi vsi na tej policijski postaji in vsi v mestu iz katerega je antifašisti. Ampak to ne pomeni da ima ta fant resne probleme da je šel razbijati avto. Bo moral delat na tem da to odpravi.,ni sporni govor
"Povedno je, da je v izjavi izpuščen naslovnik škode.

Izjava, ki odlično odslikava dvojnost države: je demokratična država in je partijska država. Prva legitimna, a revna; druga nezakonita, a bogata.

Janševa vlada torej povzroča škodo partijski državi. Če je tako, je to dobro. https://t.co/2kXx3j416X",žalitev
"In to govori PV🤔....ki naj bi bil PV vseh nas🤔, ne samo naših in ne samo njihovih....te delitve,netenje sovraštva,nestrpnosti ne vodi nikakor...in to vazali s sklonjen mi hrbti, zaprtimi ušesi in pokritimi očmi omogočajo...sama beda jih je, beda slovenske politike vsem na očeh. https://t.co/E3NOgkHLvL",žalitev
"@ErikaPlaninsec @JakaDolinar2 Pri nas to 1x dnevno naredi snažilka. Jaz pa sem 1x šla, vhodna vrata, kolesarnico....Sedaj pa skrbim samo za svoj del. Noben problem v čiščenju, je pa problem v materialu.",ni sporni govor
"@RLjubljana Se zavedas, kako je gledanost na youtubu porasla? ima super reklamo. Tisti, ga niso poznali, klikajo. Slabo!",ni sporni govor
"Pravzaprav je neverjetno le to, da je Štromajerjev bicikelj v petek zdržal njegovo težo, medtem, ko je poskušal vsaj malo kolesariti. https://t.co/kMOkhuMHNL",žalitev
"@lenci53 @Blaz_88 @dragnslyr_ds @StrankaSMC @NovaSlovenija Kot če bi govorili, da v primeru, da odpove avto in grem na vlak, gre za vlak in ne za avto. Oktobra smo izvolili novega predsednika @PocivalsekZ , ki je jasno povedal, da želi biti povezovalen. Šarec, ki je na EU volitvah dal košarico #SMC in #SAB pa?",žalitev
"Nadškof @NadskofZore bo v ponedeljek, 2. aprila, ob 21.00 med molitvijo Slovenijo posvetil presvetemu Jezusovemu Srcu in brezmadežnemu Marijinemu Srcu v boju proti pandemiji #COVID19. https://t.co/Nga4ub44tl",ni sporni govor
"Meh, izpoved. Harmonike (klavirske) doma že dve leti praktično ne igram, ker je pes ne prenese.",ni sporni govor
"""Ob vsej zdravi distanci, ki sem jo vedno čutila do poezije, razumem, da zna zelo na kratko in učinkovito izraziti naša čustva, veliko bolje, kot bi to v večini primerov naredili sami.""
 https://t.co/fb16DfvVKj",ni sporni govor
"@LittleGiant2020 @Igor_Luksic Jasno da zato, ker sem prebral v vseh medijih. Iz medijev in knjig npr. tudi vem, da obstaja Antarktika. Nisem namreč še bil tam.",ni sporni govor
"Primark Citypark Ljubljana ne sprejema bonov 💶 Desetak, kar je precej nerodna reč, saj so ti boni velikokrat dani kot darilo. Razlog Primarka, pa je precej nenavaden.

#Primark #Desetak #Citypark https://t.co/tXOMSSHY4C https://t.co/E0BS6YlnFE",ni sporni govor
@TjasaSlokar @lukavalas A italijanski novinarji na splošno veljajo za nezanesljive?,ni sporni govor
"@vinkovasle1 EU pa ja, Italijanom pomagajo Rusi in Kitajci. Vedno znova in znova imam prav EU je nasilna umetna tvorba z zamerami posameznih držav že od 1 in 2 sv vojne naprej. Finančni in gospodarsko ima pa največ od EU Nemčija, ki pa kot vidimo nočejo pomagati finančno Italiji.",žalitev
"Sedaj, ko primerjam stroške, ki sem jih imel prej z avtomobilom in stroške, ki jih imam sedaj, sem skoraj na ničli. Kredit za avto je 275 EUR na mesec, za elektriko pa porabim še dodatnih 60 EUR. Vsega skupaj 335 EUR.

Prej sem dal samo za bencin nekaj čez 200 EUR.",ni sporni govor
"Koronavirus je razgalil antijanšizem. 

Najprej so se posmehovali, zdaj jezno lajajo ali ""pojasnjujejo"". Upajmo, da ne pridemo v naslednjo fazo, ko bodo poniknili. https://t.co/dhUJL5MFQk",žalitev
"@vecer Tale trojica še kako spada skupaj, dva z nacionalke in ženska, ki neskončno sovraži verujoče.",žalitev
Ustavno sodišče demantira navedbe tožilca Škete in je zelo nedvoumno: Državno tožilstvo je del izvršilne veje oblasti! https://t.co/DnLdJCjkMI via @Nova24TV,ni sporni govor
@Baldrick_57 @Pika_So Pa 22-letni prejemniki borcevskih penzij zzb nov tud pridejo,žalitev
"@Jo_AnnaOfArt @Stanisl15592752 Jetrca so bila itak zakon, kri smo pa vso za krvavice porabili.",ni sporni govor
"@Hrastnikov @surfon Če bo tako, bo izigravanje sistema. Bo sigurno, kdo zadržal kakšna nakazila, da bo opravičen do plačila, medtem ko bo kdo dobil neko malo nakazilo in bo moral plačati. Pravilno bi bil odpis za vse.",ni sporni govor
"@Matej_Klaric @MATJAUEK Nova 24, Demokracija  ne financirajo davkoplačevalci tako, kot RTV SLO.
RTV SLO kritiko jemlje, kot napad, pri čemer se ne želijo odpovedati davkoplačevalskemu denarju in aktivizmu.",žalitev
"@evakosak Sem fanica na instiču, tko da vem, da ni sam lepa, ampak je tudi spretna. 😍",ni sporni govor
"@PreglArjan @alesernecl Nihče ne obračunava z otroci; nasprotno, pogovarjamo se o fizično odraslih starših, ki pa še niso dovolj duševno zreli za zdravo vzgojo otrok, ki bi naj premogla dobro mero kritične distance do sveta.",žalitev
@Rok_Novak @MarjeticaM @xmp125a @matejpirnat Švedi bodo pozabljena trupla še dve leti po stanovanjih pobirali. Toliko o švedskih truplih. Niti podatki niso.,žalitev
"@Jelena_Ascic @DejanP2 Ta isti WHO je še 4.2. sporočal, da zapiranje mej ni potrebno...
Tudi WHO krepko zamuja...
Poleg tega je menda(!?) treba s testi v SI ravnati varčno, ker jih ni ravno preveč. Le zakaj?
https://t.co/6YxVGZIMic",žalitev
"@GoranBracic Nekateri jim beremo pravljice, drugi pa pripeljejo na ""ubi, ubi..."".
Ampak čudna so pota, teh ""intelektualcev"".",žalitev
"Menda so ga ugrabili tudi vesoljci in mu dokazali, da je zemlja ploščata, a o tem še ne govori javno. https://t.co/s2jrPt2MzG",žalitev
"@_Inja_ Js sm zobarci, k me je to decembra vprašala, odgovorila 20 + 13 🤣 ni mogla verjet ahhah",ni sporni govor
"@FranciKek @FLOTUS Slovenski pasoš je vrnila, edino če ma še avstrijskega po Knauss. Kurz ji naj pomaga.",žalitev
Zdravniška ekipa pravkar prispela na mejni prehod Vrtojba / @vecer https://t.co/qZSOvud5WC,ni sporni govor
"@DrLevch Nikogar nimam, ki bi me lahko kdaj prišel obiskati. Nimam otrok, nimam vnukov, žene tudi ne. Prazniki so, jaz pa sam. 
https://t.co/DEvUwj3I9J",ni sporni govor
"@MajdaSirca Saj komunisti so bili tudi morilci, lahko se manipulira s številom, dejstva so dejstva. Fašisti in komunisti do bili totalitaristi.",žalitev
"Kaj žensku naredi pomanjkanje  poscanega trdega mesa...
🤣
https://t.co/0aO3QG9AwC",ni sporni govor
"@peterjanssen Ampak pravi, da se ne čuti krivega, ker reševal življenja ""ws ta cajt"". Da ne bi bilo predčasnih valitev čez most.",žalitev
"@rose_roseae Šel se je zmenit za reket. Prej je reketirala prejšnja vlada, sedaj pa nova. 🤣",žalitev
"Končno IG zgodba, ki ni o koronavirusu. Prispevek Simone Bandur o Mitji Lavtarju, ki je obiskal vsa naselja v Sloveniji. IG zgodba na: https://t.co/3ShGyStEWI https://t.co/LCsLW2TXn7",ni sporni govor
"@strankaSDS @JJansaSDS Kako lepo se smejite dragi PV! Več takih fotografij prosim, takega vas imamo radi 😍",ni sporni govor
"@Delo Če bi minister pravočasno ustrezno ukrepal in se ne bi pridružil tistim, ki so histerizirali, da panike pa res ne potrebujemo, bi imeli precej manj okuženih, manj zadreg in, ne nazadnje, ne bi zapirali celih klinik v karanteno. Kajneda, g. Šabeder? 🤧😷😨 Zdaj nas pa glava boli.",žalitev
"@sarecmarjan Tako kot trud za otroke z virtualno šolo, ki je ni. 1.1 milijona eurov pa tudi ne.",ni sporni govor
"@AlesKohek @PBohinc @DKopse @24ur_com @ProsekTjasa Ti si pa idiot. Prisesani so izdajalski udbovci,povojno rojeni partizani in levičarski nevladniki",žalitev
"@Jo_AnnaOfArt Izjavil naj bi, da se JJ prilizuje SMC-ju? Bebček, kakšno izrazoslovje poseduje, mater, no, sicer se pa on ni prilizoval Levica, samo ponižno je udejanjal želje slednje, ko je postal neposlušen, so ga zapustili, ostali pa se mu za hrbtom smejali, zato kalimerovski odstop!😒",žalitev
"@Pet_Kod Ej, 50% tvojih otrok rado hodi v šolo. To je boljši odstotek kot je bil pri nas doma :D",ni sporni govor
"@JakaDolinar2 @Gorazd08617996 - aktiviranje domačih kapacitet za izdelavo respiratorjev 
- pomoč starejšim in nemočnim na domu, ki rabijo dobave hrane iz zdravil 
- pomoč gospodarstvu TAKOJ (nemčija je za začetek aktivirala 500.000.000.000 eur) 
- priprava kapacitet za večje bolnišnice",ni sporni govor
"@simona74706278 dooobraaaaaa... vlago pa še temperaturo... a bo rezultate pošiljala na pametno uro, ki bo ob določenih vrednost zavibrirala? Sam vprašam...",ni sporni govor
"V Italiji v enem dnevu 133 žrtev koronavirusa, karantena na severu države https://t.co/KIDzh5hyge",ni sporni govor
"@jdamijan Ne vem, Joze, a so posnetki trug v Bergamu fotomontaza ali fake news?",ni sporni govor
"@AfterCorona_1 Upam da oblečena, imam otroke stare mal preko 20 in ne želim, da jim priskuti spolnost 🤪",ni sporni govor
"@STA_novice Ko se Trnljulčica zbudi iz dolgega spanca....in stopiti v nov svet....kjer so same lepe stvari, sonce sije, trava in rožice rastejo ter ptički pojo😉😎",ni sporni govor
"@starihalj @BraneSimic 2. tir do Medvod, Domžal in Grosupljega? @slozeleznice @mzi_rs @vladaRS",ni sporni govor
"@InfoTVSLO ste kad premišljevali o ""prestopu"" v drugi poklic? Če ni, tudi vojska ne vzame in je potrebno ukrepati. Najlažje je jokcat in jamrat na borzi dela. Dela je dovolj, če ne drugega, opravit ta čas sezonska dela v kmetijstvu.",žalitev
"@STA_novice bullshit. Širijo ga BOLJ verjetno, ravno zato, ker niti ne vedo, do so prenašalci in se veselo družijo?!

Kakšna ""znanost by WHO"" je to?! ""Težko raziskovati"" --&gt; zaključek: tega ni.",žalitev
"Koliko ljudi je tukaj, ki komaj uspejo črkovati kultura, imajo pa polna usta Magnifica, Prešerna in samopomembne užaljenosti.",žalitev
"@vladaRS @NeuroVirtu @JJansaSDS (1)
Varstvo posameznikov pri obdelavi osebnih podatkov je temeljna pravica. V členu 8(1) Listine Evropske unije o temeljnih pravicah (v nadaljnjem besedilu: Listina)

https://t.co/qyFAKhAsbo",ni sporni govor
Dvajset minut sem spala in medtem sta za vse ostale minili dve uri. Fizika časa je res zanimiva. 🤯,ni sporni govor
"@petrasovdat No, z vodko imam nekaj zgodb, a samo Trojke ne prenesem več. Wyborova in Zubrovka pa še gresta.😉",ni sporni govor
Po štirih mesecih trgovine znova odprte tudi v nedeljo https://t.co/GMWok42Eih,ni sporni govor
"Veliko speče in potuhnjene 5 kolone se nehote razgalja vsak dan. Morda bo trajalo dolgo, ampak končno očiščenje neizogibno prihaja in  to nadvse veseli. https://t.co/GFGvxmSNND",ni sporni govor
"@MareAndi @llisjak Rit je pokazal neonacistom! Ko bo naslednjič kdo potreboval dokaz, da si deklariran neonacist.",žalitev
"@Bojana61654450 @scdtwister Tudi to, da je malodane par ur pred nastopom nove vlade na določena mesta nastavljal svoje ljudi, je pozabil👎👎👎",žalitev
@BizjakSelma @mrevlje @AlesKogoj Vsem zniža dohodek na 400eur in zaprite Slovenijo,ni sporni govor
"Sinoči se je zbrala skupina Štajerskih fantov, kateri so zadolženi za deratizacijo podgan in levičarjev.Sklenjeno je bilo,da se po umiku @JJansaSDS iz aktivne politike na njegovo mesto izvoli sin Črtomir...Torej levičarji, čaka vas dolgi giro po 🇸🇮.Umrli boste z kletvico na ustih",žalitev
"#NOVO Za #sejemskavča smo VigeVageKnjige pripravile kratek predstavitveni filmček založbe. Predstavili smo svoje najljubše risoromane z naših polic. 
Filmski pristopi in jeziki so različni, skupni imenovalec pa korona.
Video traja nezaslišanih 3'49'' :)
https://t.co/5WweMHdYaZ https://t.co/eVKFlk3iLu",ni sporni govor
"Ta vikend grem gledat... 🎬👀
Kar 70% FB prijateljev pravi #ParasiteMovie 

Kaj si boste pa vi ogledali? https://t.co/c5tI9KZOhV",ni sporni govor
@ProsekTjasa @24ur_com Voda in blato me ne zanimata. No v bistvu me nč več ne zanima! ZBogom!,žalitev
"vedo kdo je AV, ampak so toliko investiral v njega, da ga bodo pustili pohoditi narod za tist pildek, s katerim si bodo lahko samo zadnjico obrisali.",žalitev
"Kaj pa trgi, pa kipi in pa komunistične zastave na državnih prireditvah? https://t.co/tRBcatyUk4",ni sporni govor
"@JobaBajo @JanjaSl je povedala na dan izvolitve @JJansaSDS, da je @StrankaSMC želela ohraniti levosredinsko koalicijo, če bi @sarecmarjan bil zamenjan. Z vstopom v novo koalicijo so pokazali, da so sposobni demokratičnega dialoga. Ob primerni komunikaciji imajo dobro pozicijo za v bodoče.",ni sporni govor
"Mnogi pogrešamo go. Ljudmilo Novak, ki jo je stranka po vsem odličnem, kar je naredila zanjo, izdala. https://t.co/GDIDUUmn57",ni sporni govor
"@Matej_Klaric Kar se Janez od levega političnega pola nauči, to sedaj Janez zna.",žalitev
"Ugotavljam, da ima vsak pametnjakovič antiSlovenec zaposlenega vsaj enega trolčka, ki vskoči, takoj ko nima argumentov. Pregl, Železnik, Šarec ...",žalitev
"@JanezMeznarec @BojanPozar In sebi odprete do konca. To smo že videli kako deluje. Nekateri desničarji so lepo zaslužili z koronavirusom.. Čas je, da vam zapremo pipo. Dovolj ste potrosili nas denar.",žalitev
