tweet,is_offensive,sporni_govor
"Danes je dobila pošto za kliniko, klicala zavarovalnico. Odobreno, ji potrdili. Zvoni: Vidiš, uredila sem, nisi ti. OK, mama. 
Kličem, reče: Kaj hočeš?
Nič, samo tako izžeto se počutim.  Odvržena kot cunja, ko jo uporabiš.
Občutek, ki se mi je zažrl v teh 55 letih v zadnjo poro.",ni sporni govor,0
"@CZCBZ iskreno povedano, včasih pogrešam čase, ko smo imeli v trgovini s šuhi na izbiro samo dva, tri modele. zej jih imaš pa deset, dvajset, en grši in bolj neudoben kot drugi.",ni sporni govor,0
"@llisjak @markodvornik 1) Ta ugotovitev ni kakšna noviteta, prej dolgočasna stalnica. Tako vsekakor ni nekaj, kar bi šele ti protesti razgaljali.
2) Kdo, ki naj bi na novo uzrl takšno ugotovitev, se bo na volišču drugače odločal? In za koga naj bi tak se odločal?",žalitev,1
"Prijazno opozorilo! Prav danes dobil SMS (odkod jim moja številka?) od družbe Calisi d.o.o., ukvarjajo se s prodajo medicinskih pripomočkov... nikoli pri njih ničesar naročal, mislim, da gre za močan nateg, vezan na zloglasni Covid-19... še eni od vojnih dobičkarjev? ⁦ https://t.co/33GD2zJYx2",žalitev,1
"@SVesel @sarecmarjan In na koncu dneva Brigita SS še vedno ni zdravnica. 🤷🏼‍♀️ 
Oh the pain.",žalitev,1
"@Stanisl15592752 @ErikaPlaninsec @ANJABAHZIBERT Ženska... Bl k jo tepeš, bolj je modra!",žalitev,1
"@MervicVanda Razumem jaz veliko več kot ti!
Imaš dokaze za to, kar si napisala?",ni sporni govor,0
"Jah, bo kar treba povedat, da ima Zavod za blagovne rezerve svojo nabavno službo, ki lahko direktno nabavi, kar hočete, če oni rabijo, ki je seveda popolnoma neodvisna od ministra za gospodarstvo! Ne tem izpitu sem jaz padla, ker sem pripravila zakonsko podlago za plačilo nafte. https://t.co/TKHNVTepnP",žalitev,1
"@Mirko_Mayer @vladaRS @JelkoKacin Delno se strinjam, se pa glede na odgovor vidi, da nihče od odgovornih ne živi v bloku in ne pozna kaosa znotraj.",žalitev,1
@Plavalka @cnfrmstA Jaz sem po nekaj epizodah odnehal *unpopular opinion* :),ni sporni govor,0
"🌩PROGNOZA NEVIHT🌩
Izdano: 9. 5. 2020 ob 10.00
Velja: 9. 5. 2020 od 12.00 do 20.00

Preverite podrobnosti: https://t.co/WKvaup8JuO https://t.co/BwlGcOxm3V",ni sporni govor,0
"@rtvslo Prešern bi bil zelo razočaran. Kulturniki so nekulturni, učitelj pokaže rit, zabavljač pa smeši državno slovesnost. 
Edinost, sreča, sprava
k nam naj nazaj se vrnejo;
otrók, kar ima Slava,
vsi naj si v róke sežejo,
de oblast
in z njo čast,
ko préd, spet naša boste last!",žalitev,1
"""Kinoteka v luči Silvanove vizije je strast."" (Jurij Meden)
&gt;&gt;&gt;
Človek za film: karizma Silvana Furlana &gt; https://t.co/pj9evbC0o4 https://t.co/bn6whVunv6",ni sporni govor,0
"@Mymoney80450222 Šarčeva vlada je imela priložnost, da bi RTV prispevek dvignila za 1 evro, pa tega ni naredila zaradi bojazni, da bi jim padla priljubljenost na prihodnjih volitvah.",ni sporni govor,0
"Je na obzorju čudežna vrnitev? Italijanski Sky poroča, da si Marc Marquez želi vrnitve že ta konec tedna, ko bo v Jerezu na sporedu druga dirka sezone ... https://t.co/2gZkNJg2Ug",ni sporni govor,0
@SNYPERDJ @mgajver Zakrinkate obraz in na pomoč pokličete Antifo iz tujine - reve usrane! https://t.co/mzk26FWDBj,žalitev,1
"@vinkovasle1 Delim vaše občutke. Poznam ga le skozi medije. Pri tem članku, kjer tarna nad svojo ""KPK-usodo"", se mi je kvalitetno spahnilo ob njegovi samohvali, da ""...je vodil nepozabno stavko novinarjev na volilno nedeljo..."" (l. 2004; s tem so nagajali Janši. A zato njemu danes pa Pahor?!)",žalitev,1
#2wankers sta se vmes prebudila in ga dobro pičita na splitska vrata. https://t.co/XkXx6LjT1g,ni sporni govor,0
"Ne pozabite steklenicam, ki ste jih spili na petkov večer, oplakniti dno in nabrati kvasno usedlino. 🍾 Danes je dan za peko! ;) #pivskikvas 🥖 @radimamvino https://t.co/nxWc2k5iwF https://t.co/fJY67cVEpF",ni sporni govor,0
"@IawIa3 Zavedamo se, da si želite naši naročniki spremljati programe Sport klub. S ponudnikom programskih pravic za Sport klub bomo nadaljevali pogajanja. Želimo si, da bomo uspeli najti skupno točko v najkrajšem času.",ni sporni govor,0
"@enxeny @BRajgelj Bravo @strankaSDS. Prav uživam, ko ti komunajzli trpijo. 😆",žalitev,1
"@KilgoreSH5 @Nova24TV @FranciKek 😆😆😆 Hvala, da to raziskujete 😆😆, kar se ve že od majskih dni 2014 😆😆. Zgodilo se je, takoj priznal napako in še danes sodim kot cenjen sodnik. Na napakah se učimo, tako se tudi jaz na svojih. Život je borba 😎😉👍👍",ni sporni govor,0
"Grožnje turškega ministra EU ali z drugo besedo vojna napoved evropskim državam.... Zakaj ne ukrepajo in pošljejo vojsko v Grčijo, da brani mejo in ne da vozi migrante na otoke... https://t.co/vb02XMOHXr",žalitev,1
@nimivseeno Ploska pa tisti in se smeji kot en topli bratec ki strastno obožuje Jeleno Karleušo in Mileta Kitića... softič en.,nespodobni govor,1
"@tamaravonta Umiranju. Da se clovek ne matra, da se mu lajsa bolecine, olajsa dihanje itd. V DSOjih je najvecji problem v pomanjkanju kadra, materialov, zdravil itd. Zato bi bile negovalne bolnice s paliativno oskrbo res potrebne.",ni sporni govor,0
"Trener Celja Dušan Kosić je razkril svoj pogled na trenutno nogometno situacijo, na katero je močno vplival izbruh koronavirusa. https://t.co/F8jSxf0MHb",ni sporni govor,0
"@strankaSD A to pišete iz kakega privat doma ali iz ukradene vile? Če vas že zlati sendviči baronice  Ursule jankovic ne motijo. Mene pa moti oboje, ker ne maram ukradenega ali pa kreditiranja. Vas ne?",žalitev,1
"@JanezPogorelec @ZanaVertacnik @vecer @ZidanDejan Nič ne bo! 
Kučan Novi Sloveniji ne pusti doseči boljšega rezultata.
Kučan poskrbi, da NSi pride v DZ, a pazi, da ni premočna.
Zato kristjanom vsakič ponudi nekega ""sredinca"", 
ki Novi Sloveniji odvzame krščanske glasove.
Hkrati pa ji govori, da ji krščanske glasove krade Janša.",žalitev,1
Vlada spremenila Uredbo o določitvi zneska trošarine za energente https://t.co/K83MrE5VO4,ni sporni govor,0
"Sneg za zimo je varno shranjen na daljavi svetovnega rekorda pod letalnico bratov Gorišek. Se vidimo in slišimo drugi konec decembra, tudi na @Val202. https://t.co/zDvGKsv3mT",ni sporni govor,0
"@svoboda_govora @JJansaSDS Prosim, da to aplikacijo uporabite še na kakšnem vidnejšem posamezniku nasprotnega političnega pola. Hvala.",nespodobni govor,1
"@krisch_m @AlphaCohortes Ja, na sodstvo vsekakor so. Na politiko pa ne, živimo v demokratični državi.",ni sporni govor,0
"@petrasovdat @Mauhlerca @Nogavicka_Pika @freeeky Glej, saj brada kralja Matjaža je tudi že zeeeelo dolga. Tip pa itak cel cajt spi in ne bo niti opazil. 😁",ni sporni govor,0
"@Margu501 @Klemen81365424 @sodnik @wildduckMb Ko se že sankate po mojem profilu, naj povem, da sem nespodobneža blokiral, zato verjetno ni več štrline na obzorju.",ni sporni govor,0
"@a_storman @MilenaMilenca Ti pobijajo svoje, zaradi tega, ker so samo bolani. https://t.co/1OJCBhG30G",ni sporni govor,0
"@Cozasss @StrankaSMC @mgregorcic Oportunizem in nastopaštvo, bi rekel. Kakšno je bilo mnenje Počivalška jeseni 2018?",žalitev,1
"@VaneGosnik Če je to res, potem Sloveniji ni več pomoči. Životarili bomo še naprej.",žalitev,1
"@stanka_d Zaradi mene lahko ljudje vpijejo smrt fašizmu, komunizmu, janšizmu, kapitalizmu, socializmu ali celo dadaizmu in kubizmu, če želijo. NE pa smrt kubistom, dadaistom, socialistom, kapitalistom, janšistom in celo komunistom in  fašistom.",ni sporni govor,0
"@NeMaramButlov Narobe si napisal kolaborantov.

Kolaborantov, Boris. Onih, ki so sodelovali z nacisti. Nacisti so pa tisti, ki so si zeleli podrediti svet. In ubijali. In tisti, ki so vsec tvojemu lastniku, Ivanu. 

Kratka lekcija iz zgodovine. Gratis.",žalitev,1
"@mstepec @msedej @vagaja_boris @vladaRS Res je. Jaz to rešujem tako, da naročim na naslov sorodnika, ki živi v Nemčiji, potem pa mi to pošljejo po pošti ali prinesejo, ko se oglasijo kaj v Sloveniji.",ni sporni govor,0
"❗️❗️ POZOR! Po Sloveniji je že 24 ur izjemno popularna spletna aplikacija covid-19-stats za samo-špecanje osebnih podatkov. 

Aplikacija je postala viralna, svoje osebne podatke je že v prvem dnevu obratovanja vpisalo več kot 125.000 državljanov. 

https://t.co/WctX0GT37G",ni sporni govor,0
@BojankaStern Stvar vzgoje. To so jih očitno naučili ali pa ne naučili starši. Saj do starejših tut nimajo empatije in odnosov.,žalitev,1
"@petrasovdat pametno bi blo to en mal podaljsat, ce se bojo to sli. folk je itak brez nekega ekstra denarja za udobje. in tega bojo rabili, ce gres kam, ne glede na to kar ti bon placa.",ni sporni govor,0
@indijanec @1partychick @Svarun_K @meteoriterain Dilema. V to vrečo bi lahko padal denar iz naslova prepovedanih drog...morda tudi iz ostalih držav.,ni sporni govor,0
"@SmiljanPurger Saj sem povedala. G. Purger, besedi predhodi misel, navadno...",ni sporni govor,0
"@vecer @vladaRS @JJansaSDS Preprosto menim, da se premalo @JJansaSDS oglasi. Še @BorutPahor spodbuja vlado in je pozitivno usmerjen v komunikaciji.
@JJansaSDS ste predsednik @vladaRS - vstopite v ospredje.
Pustite kritike, ter nas spodbujajte in vodite vlado z trdo roko!",ni sporni govor,0
Igor Hribar širi sovražni govor par excellence. Bo kdo reagiral? https://t.co/cT9haX5TG7,žalitev,1
"Metafizična poslastica 👍👍👍 ""The Revenant"" 👏👏
Tretji dan zapored mi TV ponuja DiCapria v zelo kvalitetnih ali celo mojstrskih filmih, eden od njih tudi ne tako rahlo degutanten 🤨
""Aviator"" (Letalec). ""Wolf from Wall Street"" ( Volk 'z Wall Streeta). In zdaj še Povratnika ☺️ https://t.co/zwP0lWtFfU",ni sporni govor,0
"@nivelska @EvaCernevsek @gasperoman1985 @tanjusa1 @AlanOrlic @staneC Zakaj te toliko briga, kako se kdo oblači? Variant, kako je prišla do bunde, kateri si ti prilepila domnevno ceno je veliko! Če ni janšistka, bi morala okoli hoditi, kakšna!?!",žalitev,1
"[Breaking] Jelko Kacin po telefaksu poslal izjavo za medije:

Južna Koreja nam je pokazala izjemno uspešen model boja s Corona virusom.

Zato smo se odločili, da pod vodstvom največjega Slovenca tudi mi prevzamemo model Severne Koreje.",žalitev,1
"WHO: Pandemija covida-19 se pospešuje
https://t.co/F0QojT43NL

#coronavirusSI #COVIDー19 https://t.co/6kDkB90inR",ni sporni govor,0
"@Demokracija1 Pojavili se bodo na naših mejah, da bo gospa Fajonova srečna in zadovoljna!",žalitev,1
"@Pet_Kod Ti so diletanti. Ta pravi maherji poznajo celo take, ki vejo, kje bo kdaj kakšen atentat. 🤦‍♂️https://t.co/sWIV6dQslu https://t.co/GQrRVLtpAJ",žalitev,1
"@sarecmarjan Isti komentar kot zadnjič. Dva tedna prepozno. Škoda je že narejena, upamo da še obvladljiva.",ni sporni govor,0
"@robilesnik @zeljko_novak @slavc7 @frelih_igor @MarijaMerii @peterjancic @2pir_a @pjur11 @zaslovenijo2 @JanezMeznarec @Platinis2 @EnVaitapu @krajnc_martin @Bostjan1981 @R10Vojko @FrenkMate @zaspanko @caplcapinski @strankaSD Zanimivo. Levičarji lahko dedujete, Janši pa to ni dovoljeno.",žalitev,1
"Čestitke, vlada @JJansaSDS  @MatejTonin  @APivec  @PocivalsekZ Sicer nobena od strank ne bo mogla v polnosti izvesti obljubljenega programa, vendar lahko kljub temu pričakujemo učinkovito vlado. Vse dobro!",ni sporni govor,0
"Samo nekaj me zanima, a policija nima glavnega šefa, da nam ostalim državljanom pojasni, kaj in koliko policisti potrebujejo na J meji....samo vprašam, ker pač politike mam PK😎 ...pa da se strokovno zmenimo.",žalitev,1
"https://t.co/HZIjPbFF8h
Ti ljudje res ne vidijo hierarhije problemov, plačani pa so za to, da jo najbolj jasno prepoznavajo. Če ne bomo Covid 19 marginalizirali, bo bolezen marginalizirala nas.",žalitev,1
"@seba1337 Se pravi da je moja skrb da poskrbim za to? Potem naj imajo tudi zaposlene tam to,tole 1deci je drago ampak po drugih trgovinah imajo to urejeno, za noter in za ven. Edino v Hoferju sem opazil da tega ni. Zoprn občutek ko zapuščaš Hofer nimaš na razpolago razkužila ne prej ne pol",ni sporni govor,0
"Six Feet Under finale zadnji trije deli 🥴😓😧😢😭😥😣😰🥴

Drugače ena boljših serij. 🤘",ni sporni govor,0
"@Nova24TV A to so tisti podpisi, k samo klikaš. 100x  iz istega kompa, če se ti da. Bravo, klet iz Trstenjakove se je res izkazala. Je Mahnič zihr kakšno pico častil hitrim prstom.",žalitev,1
"@MStrovs @VSO_Slovenija Seveda ne, zasluge za mirno predajo orozja ki ga je JJ pridno prodajal.",žalitev,1
"@Tomaz79 @fedjah @KatarinaJenko Razlikovati ne moreš, je pa takih, ki bi bili v stiku in niso razvili protiteles verjetno zelo malo. Problem je lahko tudi v občutljivosti seroloskega testa, ki se skozi čas po okužbi spreminja (odvisno od testa do testa). 

https://t.co/ZHWuypfh6D",ni sporni govor,0
"@pjur11 @surfon @D_Jasmina @llisjak Povsem jasno je, da je umor Georga Floyda eksces. Po vseh statistikah črni niso nič bolj žrtve policijskega nasilja kot beli.",žalitev,1
"@freeeky @mahkovic_eva jaz imam preprosto za več površine. rabim za maile, worde, pdf-je, internet - vse hkrati in v več oknih, da lahko preverjam/izponjujem zadeve. pa še mam včasih filing, da bi lahko mela še tretjega izključno za maile, ostala dva pa za uredniško delo.",ni sporni govor,0
"@vldrsi Vidm, da humor še ne deluje dons zjutri. Laterz. https://t.co/9wAJeeyNE0",ni sporni govor,0
"[TUŠIRANKA] Tuširanka komentira zgodbo Oštra, da je Slovenija pralnica madžarskega denarja.

✍ Izar Lunaček

https://t.co/1VOnvYZWa2

#oštro #tuširanka https://t.co/trGoxuvFjd",ni sporni govor,0
"Prisotnost @BorutPahor v Kočevskem Rogu je sramota in delanje norca iz tam zverinsko pobitih s strani tistih, ki jim Pahor pripada. Da ne omenjam dela njegovega govora, kjer opravičuje ""bolečino"" partizanov... Za kozlat!",žalitev,1
"Ostani doma, ne nasedaj propagandi in poslušaj podcast #drzavljand

Pogovori s pametnimi ljudmi o pametnih stvareh, vsak mesec nova epizoda.

Več na https://t.co/LS7WHOZjq4 https://t.co/Q9aqBOmZar",ni sporni govor,0
@Kombinatke @had Bil je tudi zadnji dan obračunskega obdobja in sem imél še mobilne podatke za pokurit.,ni sporni govor,0
"@Matej_Klaric @TomazLisec Matej, na zahodu je vojska na ulicah z razlogom, tudi kadar imajo leve vlade, zaradi varnosti in nihče se ne pritožuje. Mešati to z zločini oseb, kot je bil ta, ki ga omenjate, je povsem neprimerno.",žalitev,1
Še nekaj kar Avstrijci naredijo boljše kot mi... @DARS_SI ...in ja fejst sm moču z vodo... https://t.co/Fo2DLhuLWq,ni sporni govor,0
Celice splavljenih otrok v uporabi pri izdelavi cepiva proti covid-19 https://t.co/9zC3NYo7XB via @Časnik,ni sporni govor,0
"Senzacija na Japonskem: Hrvat Filip Zubčić mojstrsko do svoje prve zmage, Žan Kranjec z 9. mestom zadržal rdečo majico vodilnega @SloskiSZS 
https://t.co/3S6ffQaYhn",ni sporni govor,0
"@huferka Oba veva da tak način ni pravi. Dokazuje vedno tisti, ki poda trditev.",ni sporni govor,0
@Medeja_7 @BojanPozar @TVOdmevi @TarcaRTVSLO @RTV_Slovenija Lažna tv Slo. Saj ne moreš verjeti!,žalitev,1
"@glashona @cashkee Je. Ker gre za sistem, ki že nekaj let deluje. Pri nas se je pa te teme otepal Bertoncelj (nič dodatnega zadolževanja), tudi mantra opozicije je bila podobna. Zdaj so pa drugi časi in če je Nemčija obrila ploščo....",žalitev,1
"@jozikreuh Ja, ali lahko dobimo kakšno povezavo na vir? Nikjer ne najdem tega v medijih napisano. Kje ste to zasledili??",ni sporni govor,0
"@JozeMozina Hvala, ker obveščate. Jaz namreč Hanzi ne pogledam niti sporeda, mogoče SLO3, če @Nova24TV ne prenaša.",ni sporni govor,0
"@FVPotocnik Ne pravi zaman nek rek ""meje mojega jezika so meje mojega sveta"". In ravno zato se zanikovalci večnih vrednot in resnice tako zagrizeno spravljajo prav nad jezik.",žalitev,1
"@_rozen @tejcina Pelji si ene tri nabrite ilegalne emigrante domov in jih hrani in živi kolikor hočeš. Če jaz prestopam mejo moram na mejni prehod in z osebno. Ali so tile ilegalni emigranti kaj več kot jaz da njim to ni potrebno? Jaz moram plačati davke da imam streho nad glavo, njim ni treba! https://t.co/lmBwIG8f1u",žalitev,1
"@aleshojs @BrankoGrims1 @tfajon @RTV_Slovenija @BorutPahor Politicni in vojni porazenci osamosvojitvene vojne za Slovenijo so nasli skupnega sovraznika v slovenski vojski, kar so pokazali v petek in v sovrastvu do SDS. Dejstvo je, da je leta 1991 bila dobljena bitka, vojna z drugimi metodami pa se danes poteka in bo se lep cas potekala.",žalitev,1
Vsi javni uslužbenci MO Ljubljana morajo po nalogu ob petkih obvezno kolesarit oz. na ceste.,ni sporni govor,0
"@mackonar @MetkaSmole @Jo_AnnaOfArt Glede na to da si ""mačkona"" me niti malo ne skrbi več.
Sam naslednjič pocukaj za rokav, da vem 😉",ni sporni govor,0
@Ales_Golli @MarjeticaM @notaneffigy Po moje to redno delajo. Za vsak slučaj.,ni sporni govor,0
"- Kira generacija si?
- Tista, ki je v zrelih letih ob petkih pecikle pumpala, ker je mela pun qurac kaviarja in sovraštva.",nespodobni govor,1
"@surfon @Avodovnik Si predstavljaš kaj bi bilo, če ne bi upoštevali glupih znanstvenikov glede ozona?",ni sporni govor,0
"@Desnilevicar Naj mi nekdo razloži, kakšne možgane moraš imeti za ugotovitev, da je bil Počivalšek v levih vladah zelo pošten?
Včasih smo temu rekli, da si najprej nastaviš žogo, pol jo pa brcneš.",žalitev,1
"@had Vem, da tebi ni nic jasno. To se ze dolgo ve. Zato pa si blefer in provokator.",žalitev,1
"@Libertarec @KatarinaJenko @Centrifuzija @cnfrmstA @janponiz @vladaRS ... pri produkciji otrok. To so mnogo težja vprašanja in niso stvar pravice posameznika, vsaj dokler temeljito ne razumemo človekovih pravic od samega rojstva dalje.",ni sporni govor,0
Sončen konec tedna bo prekinil deževen petek https://t.co/ruYhPt5C1R https://t.co/awxuIpPTTS,ni sporni govor,0
"@hrastelj ""Čuveni svjetski dotur"" Trampuž spet odkriva toplo vodo. To vedo povedati že tudi brezdomci v parku, ne samo epidemiologi. 🙃",žalitev,1
"Kjer na preprost način pojasnim, zakaj je potica dražja od kruha, čeprav je kruh bolj nujen za življenje. In zakaj ima davčni svetovalec višjo plačo od čistilke v bolnišnici, čeprav slednja opravlja bolj ""korisno delo za družbo"" od prvega. https://t.co/hvNg4bNxgw",žalitev,1
"Razumevanje korupcije in kršenja integritete je v Sloveniji resnično na ničli. No, recimo na ravni podpore koalicijskih strank ali drugače 0,3. Pajdaš plača pajdašu iz budžeta karkoli. Raje poglejte večje projekte na občinskih ravneh, od pločnikov, stolov, županskih insignij ...",žalitev,1
"@DesnicarkaM @schelker_maja Ravno obratno je bilo. Kurc je poslušal Janšo, ko je govoril po telefonu z Urško. Nič ni razumel.",žalitev,1
"👍 V Izoli (@VisitIzola) so v sredo podpisali pismo o nameri zasaditve 3000 dreves na območju občine Izola, ki jih je za akcijo zagotovil raziskovalni inštitut InnoRenew CoE. 🌳👏
Več 👉 https://t.co/45Hv5vTUKf https://t.co/bxgivdl52z",ni sporni govor,0
"vsako leto na ta dan, se mi čist milo stori, k je obletnica prihoda taga lepotca. pred 11 let je lahko cel zlezu v 0,5 l jogurtov lonček, dons ma pa 8 kil. #muc https://t.co/L8uBzUiD1X",ni sporni govor,0
"Hvala vlada, ker je Hrvaška še vedno na zelenem seznamu, slovenska kultura pa še globje v rjavem govnu. Iz 500 nazaj na 50. Med tem, ko se Vi ukvarjate s smrtnimi grožnjami, bo kar lep kos mojih ljudi pocrkal. Pa ne od covida, da ne bo pomote. Hvala res!",žalitev,1
"@StudioCity_, @RTV_Slovenija, videl sem (v Utripu), da se je Marcel v neki oddaji pogovarjal z Alenko Zupančič. Dajte mi, prosim, povedat, v kateri. Rad bi poslušal.",ni sporni govor,0
"@BorutRoncevic Pa ne more no dr. znanosti NE ločiti med Janšo, janšisti in janšizmom.

Ali pač?",žalitev,1
"Ne ves, kako si scistiti dihala in izplahniti corono?😂 https://t.co/1kqidATT4r",ni sporni govor,0
@iztokX Temu se reče zasvojenost. Kakšna je bila pa kaj vrsta pred Nobel burekom na Miklošičevi?🤣,ni sporni govor,0
"@NeuroVirtu @Matej_Klaric @SVesel @tomazgantar Ponavljamo: tretja pot je že razkrinkana kamuflaža za kolektivizem (beri: netržno gospodarstvo in nesvobodo). To, kaj so vizije in poslanstva gospodarskih družb pa lahko najdete na https://t.co/Bdu1FJ66ut. Sodobna Amerika je kolektivizirana skoraj kot Slovenija ali Kitajska.",ni sporni govor,0
"Stranke, ki tega ne bo imela v programu NE bomo volili‼️😵 https://t.co/IO3e8eQRa5",ni sporni govor,0
"@klara_sirovnik @MartaRazborsek Baje je tudi ena nuna,...oziroma vec nun jokalo, ....zaradi objav v vasem casopisu! Ponosni?

p.s.- res verjamete temu kar pise guardian, ...ali je to le po sluzbeni dolznosti?",žalitev,1
"Kdo ve, če se je @vladaRS v drugem paketu pomoči spomnila na brezposelne? Ali je to postala prevelika skupina za pomoč? 5 milijard smo zmetali v banke, težko pa je kaj več v ljudi. Hvala za odgovor @LahovnikMatej @PocivalsekZ",žalitev,1
"Ne vem natančno kaj boram vse blokirat in mutat, da bo tw spet sprejemljiv...",ni sporni govor,0
"@Rok_Novak @seba1337 Npr primer proizvajalca orhidej, ki se je preusmeril na solato in obvaroval 50 delovnih mest. V zakonodaji imamo veliko cvetk. Ampak sta se Desusu in NSi odogovoma za ta resorja takoj dogovorila. V 1/2h kje so težave in bo v naslednjem paketu sprejeto v parlamentu. To nas reši.",žalitev,1
"Ena izmed ustanoviteljic BLM pravi “mi so izurjeni marxisti”.
Zanimiv potek dogodkov - najprej komunistična kitajska spusti virus po celem svetu, nato pa bratje v Marxu poskrbijo za neo-razredni-boj in pod pretvezo boja proti rasizmu  skupaj z fašistoidno Antifo netijo revolucijo https://t.co/FffF0vje9H",žalitev,1
"Kako pa mislijo preveriti, da imam nameščeno aplikacijo, če sem kao anonimen?",ni sporni govor,0
"@msedej @MlRezek @PreglArjan Akademski slikar, no glih samooklicani. Res je, ""umetnika"" naredi njegova prezenca in njegove veze. Odgovor profesorja likovne teorije na faksu, na vprašanje, kdo postane uspešen umetnik.",žalitev,1
"@_Almita__ @AlenkaKesar @tamaravonta Postopek mojga futra in butlerja  
1. Pridem do človekinje in ji zamjavkam (čist tko, k pravi lačni mačor). Če me ne šmirgla, se dvignem na zadnje svoje dolge nogice. Res so lepe.
2. Jo odpeljem do svoje PRAZNE posodice, ji pokažem, da je PRAZNA
3. En mjavk, 1/3",ni sporni govor,0
"@JaniPrednik @GregorPeric @StrankaSMC Lahno povem še jaz. Bilo je SAMOUPRAVLJANJE-INGEGRITETA in je še. Prej v ustavi SRS in SFRJ,  zdaj v 3.členu Listine o temeljnih pravicah EU, zato bosta morala vlada in parlament kot elementa enotne oblasti ljudstva, kontrolirati IZDAJO integritete po izdajalcih na sodiščih.",žalitev,1
"@lepsimenko @jelka_godec @ASircelj @vladaRS [ Kdo vodi posle in kdo sledi? ]
Gospa PoslanKa in članica ( predSednica) OdbrorA ,
Predragi PoslA(n)ec, 

 ali lahko pričakujete po Murphy zakonih kaj več?

Če stvari prepustite samim sebi so nagnjene k temu, da gredo iz slabega na slabše.
Če lahko gre kaj narobe, bo tudi šlo.",ni sporni govor,0
"@Fthesheep1 @AljosaDragas @Matej_Klaric No ja. Policijo vodi človek z sumljivo preteklosti. Vodja kriminalistov je bil obtožen nadlegovanja. Ne nazadnje. Premier je bil zapornik in nikoli dokazal, da je nedolžen. Ampak vse to so podtikanja komunistov bi rekle desne ovce.",žalitev,1
"@edvardkadic Ko berem o pridržanju oz. aretacijah ob hišnih preiskavah in ob 3h popoldne poročajo , da so vse pridržane izpustili, si predstavljam, da so skupaj popili kavico in jim rekli oprostite, pa hvala za ""sodelovanje"".",žalitev,1
"Za dan svetega Patrika vam ZZFF želi: 'Sláinte!', 'Na zdravje!'.
Virus je zaprl vrata knjižnic in knjigarn, ne pa repozitorijev. Zanimivo literaturo lahko najdete tudi v odprtodostopnem repozitoriju Trinity College v Dublinu.
https://t.co/7FBSe6PCxs https://t.co/n57X7ZRLNM",ni sporni govor,0
Škuc tudi letos vabi na pestro dogajanje na Starem trgu https://t.co/eMLYtsIS3U,ni sporni govor,0
Opravicire se jima...ve umazane zivali jansisticne.. https://t.co/x35lY6nbp7,žalitev,1
"@vinkovasle1 @TVOdmevi Rakočević je na sodišču zadolžena tudi na NVO, ki sliši na ime ""Naši sodniki čestitajo in pozdravljajo"". Honorarno, seveda!",žalitev,1
"@ZanMahnic @24UR @strankaDeSUS In kaj potem, če je navijal? Tudi ti navijaš svojo lajno 🤣 🤣🤣 🤣 🤣 🤣  Še dobro, da ne hodi na proteste ali pa popravlja zobe 🤣 🤣 🤣 🤣 🤣",ni sporni govor,0
@GovorecCOVID19 Zapret dol useskp pa vsi žurat po Slovenij bodo saj domoljupci raztrosl virus 😁,nasilje,1
"@SikkPuppi O ja, vem, pa tako pritisne s kulijem, da se pozna še na naslednjih dveh straneh!",ni sporni govor,0
"@vinkovasle1 @NeMaramButlov @Nova24TV Vinko z velikim veseljem, tudi v nadurah, ki jih upokojenci ne smemo delati.",ni sporni govor,0
@serlah2017 @D_Jasmina @dreychee @MuzejNZS Če pravilno razumem in berem je bog bil samo priča prisege ...,žalitev,1
"- Predlagamo uporabo drugih kanalov nakupa, kot je spletna prodaja, ter preučitev možnosti, da nakup namesto nas opravi nekdo drug in dostavi nakupljeno.",ni sporni govor,0
Avtor te pametne pobude je katastrofalno zgrešil naslovnika! https://t.co/hDe7KOtWgA,ni sporni govor,0
"@ledu_c V tem primeru bi morali delati progresivna ali pa bifokalna ocala. Glede na to, da za daljavo nimate, bi bila verjetno boljsa izbira bifokalna, ker je vecje vidno polje. Ni pa vmesnih razdalj (npr. armaturma plosca v avtu). Progresivna so 259€, bifokalna 159€.",ni sporni govor,0
@MarkoPavlisic Tvoja vera v razum povprecnega cloveka je obcudovanja vredna:),ni sporni govor,0
@marjanritonja @mcanzutti @tfajon Če jim naša država izda vizo lahko potujejo po vsem Šengnu. Btw. Albanci in Bosanci vize za potovanje do 90 dni ne potrebujejo.,ni sporni govor,0
"Na režimski Antifa Hanzi tv so zaposelni, ki so člani SDS nezaželni in so takoj odpuščeni. Depeša MKP... https://t.co/LEuiPr6caj",žalitev,1
"@JS_jankoooo @Mat_Brazers @FutbolBible Edini od naštetih se ni prodal, ampak ostal v domačem klubu. To je celo več veedno kot nvm kakšna virtuoznost...",ni sporni govor,0
"Hrvaški notranji minister Davor Božinović je omenil možnost, da bi zaradi večjega števila okužb razglasili karanteno na tem otoku, ki je priljubljen med turisti. https://t.co/gd1sZiJCiq",ni sporni govor,0
"@pjarc Ja, je 100% sigurno. Info, kje so ga vse videli: https://t.co/sncFUrOAvw",ni sporni govor,0
"#F1 #f1si Leclerc se boji Ferrarijevega zaostanka: Ne vem, če lahko to nadoknadimo - https://t.co/C2jmemAPfY",ni sporni govor,0
